,, ,
,, ,
,,II ,
,POSEBNI DEL,,
,ZAKLJUČ NEGA RAČ UNA,,
,PRORAČ UNA,,
,Zaključni račun proračuna,,
,Republike Slovenija za leto 2002,,
,II.    POSEBNI DEL PRORAČUNA,,
,"(1) Odhodki in drugi izdatki proračuna Republike Slovenije so bili realizirani v zneskih, kot sledi:",,
,"Vir podatkov: Ministrstvo za finance, Sektor za javno računovodstvo",,
,NEVLADNI PRORAČUNSKI UPORABNIKI,Bilanca odhodkov,
11,PREDSEDNIK REPUBLIKE SLOVENIJE,v tiso&#269; tolarjih,
,,RE/VP,
,,Rebalans Veljavni Realizacija RE/SP,
,,2002,
,,2002,
,,prora&#269;una 2002 prora&#269;un 2002 2002,
,SPU/PU/PPP/GPR/PPR/PP/K3,,
,,(5=3/2),
,,(1) (2) (3) (4=3/1),
11,PREDSEDNIK REPUBLIKE SLOVENIJE,"473265 473623 472097 99,8 99,7",
1111,Predsednik Republike Slovenije,"473265 473623 472097 99,8 99,7",
01,POLITIČNI SISTEM,"473265 473623 472097 99,8 99,7",
0101,Politični sistem,"473265 473623 472097 99,8 99,7",
01011101,Dejavnost Urada predsednika Republike Slovenije,"473265 473623 472097 99,8 99,7",
,Investicije in investicijsko vzdrževanje državnih organov,"15305 12134 79,3 99,1",
2815,,12244,
420,Nakup in gradnja osnovnih sredstev,"15305 12244 12134 79,3 99,1",
3000,Plače,"370056 356121 355425 96,1 99,8",
400,Plače in drugi izdatki zaposlenim,"296337 283556 282861 95,5 99,8",
401,Prispevki delodajalcev za socialno varnost,"42531 43341 43341 101,9 100,0",
402,Izdatki za blago in storitve,"31188 29224 29224 93,7 100,0",
3324,Materialni stroški,"84987 101083 100393 118,1 99,3",
402,Izdatki za blago in storitve,"84987 101083 100393 118,1 99,3",
3540,Drugi odhodki za delo na področju obrambe,"2917 2917 2893 99,2 99,2",
402,Izdatki za blago in storitve,"2917 2917 2893 99,2 99,2",
8700,Prevozna sredstva - sredstva odškodnine,"0 1258 1252 - 99,6",
402,Izdatki za blago in storitve,"0 1258 1252 - 99,6",
,POSEBNI DEL ZAKLJUČNEGA RAČUNA PRORAČUNA,Stran 1 od 186,
,"Vir podatkov: Ministrstvo za finance, Sektor za javno računovodstvo",,
,NEVLADNI PRORAČUNSKI UPORABNIKI,Bilanca odhodkov,
