,, ,
,, ,
,,II ,
,POSEBNI DEL,,
,ZAKLJUČNEGA RAČUNA,,
,PRORAČUNA,,
,Zaključni račun proračuna,,
,Republike Slovenija za leto 2004,,
,II.    POSEBNI DEL PRORAČUNA,,
,"(1) Odhodki in drugi izdatki proračuna Republike Slovenije so bili realizirani v zneskih, kot sledi:",,
,"Vir podatkov: Ministrstvo za finance, Direktorat za javno računovodstvo",,
,NEVLADNI PRORAČUNSKI UPORABNIKI,Bilanca odhodkov,
11,PREDSEDNIK REPUBLIKE SLOVENIJE,v tiso&#269; tolarjih,
,,RE/VP,
,,Spremenjeni Veljavni Realizacija RE/SP,
,,2004,
,,prora&#269;un 2004 prora&#269;un 2004 2004 2004,
,SPU/PU/PPP/GPR/PPR/PP/K3,,
,,(4=3/1) (5=3/2),
,,(1) (2) (3),
11,PREDSEDNIK REPUBLIKE SLOVENIJE,"803832 803281 739959 92,1 92,1",
1111,Predsednik Republike Slovenije,"803832 803281 739959 92,1 92,1",
01,POLITIČNI SISTEM,"803832 803281 739959 92,1 92,1",
0101,Politični sistem,"803832 803281 739959 92,1 92,1",
01011101,Dejavnost Urada predsednika Republike Slovenije,"724306 728285 689854 95,2 94,7",
,,"421286 400718 95,1 94,1",
3000,Plače,425817,
400,Plače in drugi izdatki zaposlenim,"335935 338787 316118 94,1 93,3",
401,Prispevki delodajalcev za socialno varnost,"54059 55159 52729 97,5 95,6",
402,Izdatki za blago in storitve,"31293 31871 31871 101,9 100,0",
1192,Sredstva za izvedbo ZSPJS,"1200 1200 0 0,0 0,0",
400,Plače in drugi izdatki zaposlenim,"1200 1200 0 0,0 0,0",
3324,Materialni stroški,"243096 243096 235995 97,1 97,1",
402,Izdatki za blago in storitve,"243096 239549 232536 95,7 97,1",
410,Subvencije,"0 3547 3459 - 97,5",
,Investicije in investicijsko vzdrževanje državnih organov,"54240 50128 92,4 92,4",
2815,,54240,
420,Nakup in gradnja osnovnih sredstev,"54240 54240 50128 92,4 92,4",
,,"3284 3013 91,8 91,8",
3540,Drugi odhodki za delo na področju obrambe,3284,
402,Izdatki za blago in storitve,"3284 3284 3013 91,8 91,8",
,,"1200 0 0,0 0,0",
8700,Prevozna sredstva - sredstva odškodnine,649,
402,Izdatki za blago in storitve,"1200 6 0 0,0 0,0",
420,Nakup in gradnja osnovnih sredstev,"0 643 0 - 0,0",
