"",""," ",""
"",""," ",""
""," POSEBNI DEL ZAKLJUČ NEGA RAČ UNA PRORAČ UNA Zaključni račun proračuna Republike Slovenija za leto 2006","II ",""
""," (1) Odhodki in drugi izdatki proračuna Republike Slovenije so bili realizirani v zneskih, kot sledi: Vir podatkov: Ministrstvo za finance, Direktorat za javno računovodstvo","II    POSEBNI DEL",""
"","NEVLADNI PRORAČUNSKI UPORABNIKI","Bilanca odhodkov",""
"11","PREDSEDNIK REPUBLIKE SLOVENIJE","v tiso&#269; tolarjih",""
"","","RE/VP",""
"","","Sprejeti Veljavni Realizacija RE/SP",""
""," SPU/PU/PPP/GPR/PPR/PP/K3","2006",""
"","","(4=3/1) (5=3/2)",""
"","","(1) (2) (3)",""
"11","PREDSEDNIK REPUBLIKE SLOVENIJE","821618 878220 876745 106,7 99,8",""
"1111","Predsednik Republike Slovenije","821618 878220 876745 106,7 99,8",""
"01","POLITIČNI SISTEM","821618 878220 876745 106,7 99,8",""
"0101","Politični sistem","821618 878220 876745 106,7 99,8",""
"01011101","Dejavnost Urada predsednika Republike Slovenije","764845 827467 826534 108,1 99,9",""
"","","437513 439750 100,5 100,0",""
"3000","Plače","439781",""
"400","Plače in drugi izdatki zaposlenim","351608 353343 353323 100,5 100,0",""
"401","Prispevki delodajalcev za socialno varnost","56653 57053 57043 100,7 100,0",""
"402","Izdatki za blago in storitve","29252 29385 29385 100,5 100,0",""
"3324","Materialni stroški","242704 332425 331613 136,6 99,8",""
"402","Izdatki za blago in storitve","242704 332425 331613 136,6 99,8",""
"2815","Investicije in investicijsko vzdrževanje državnih organov","41141 34644 34644 84,2 100,0",""
"420","Nakup in gradnja osnovnih sredstev","41141 34644 34644 84,2 100,0",""
"6033","Odlikovanja Republike Slovenije","40000 20526 20526 51,3 100,0",""
"402","Izdatki za blago in storitve","40000 20526 20526 51,3 100,0",""
"1191","Prevozna sredstva - prodaja premoženja","3488 0 0 0,0 -",""
"420","Nakup in gradnja osnovnih sredstev","3488 0 0 0,0 -",""
"8700","Prevozna sredstva - sredstva odškodnine","0 91 0 - 0,0",""
"402","Izdatki za blago in storitve","0 91 0 - 0,0",""
"01011102","Dejavnost bivšega predsednika Republike Slovenije","56772 50753 50211 88,4 98,9",""
"1027","Plače pisarne bivšega predsednika Republike Slovenije","34502 32234 31915 92,5 99,0",""
"400","Plače in drugi izdatki zaposlenim","28297 26287 26195 92,6 99,7",""
"401","Prispevki delodajalcev za socialno varnost","4512 4254 4146 91,9 97,5",""
"402","Izdatki za blago in storitve","1693 1693 1575 93,0 93,0",""
"","","20771 14493 69,8 98,5",""
"1046","Materialni stroški pisarne bivšega predsednika Republike Slovenije","14716",""
"402","Izdatki za blago in storitve","20771 14716 14493 69,8 98,5",""
"1061","Investicije in investicijsko vzdrževanje pisarne bivšega predsednika Republike Slovenije","1500 3803 3803 253,5 100,0",""
"420","Nakup in gradnja osnovnih sredstev SPU/PU/PPP/GPR/PPR/PP/K3","1500 3803 3803 253,5 100,0",""
"","","(5=3/2)",""
"","","(1) (2) (3) (4=3/1)",""
"121","DRŽAVNI ZBOR","6421575 6137878 5912755 92,1 96,3",""
