"A","Bilanca odhodkov","",""
"11","PREDSEDNIK REPUBLIKE SLOVENIJE","4438310 4356332 4089502 92,1 93,9",""
"1111","Predsednik Republike Slovenije","4438310 4356332 4089502 92,1 93,9",""
"01","POLITIČNI SISTEM","4139310 4107832 3870300 93,5 94,2",""
"0101","Politični sistem","4139310 4107832 3870300 93,5 94,2",""
"01011101","Dejavnost Urada predsednika Republike Slovenije","3997972 3968346 3743787 93,6 94,3",""
"3000","Plače","2021009 2027034 1869981 92,5 92,3",""
"400","Plače in drugi izdatki zaposlenim","1682576 1726493 1569439 93,3 90,9",""
"401","Prispevki delodajalcev za socialno varnost","279740 251421 251421 89,9 100,0",""
"402","Izdatki za blago in storitve","58693 49121 49121 83,7 100,0",""
"402","Izdatki za blago in storitve","1528072 1500235 1435705 94,0 95,7",""
"2815","Investicije in investicijsko vzdrževanje državnih organov","352827 421827 418851 118,7 99,3",""
"420","Nakup in gradnja osnovnih sredstev","352827 421827 418851 118,7 99,3",""
"6033","Odlikovanja Republike Slovenije","96064 15650 15650 16,3 100,0",""
"402","Izdatki za blago in storitve","96064 15650 15650 16,3 100,0",""
"1191","Prevozna sredstva - prodaja premoženja","0 3600 3600 - 100,0",""
"420","Nakup in gradnja osnovnih sredstev","0 3600 3600 - 100,0",""
"01011102","Dejavnost bivšega predsednika Republike Slovenije","141338 139486 126514 89,5 90,7",""
"400","Plače in drugi izdatki zaposlenim","86238 87450 79182 91,8 90,6",""
"401","Prispevki delodajalcev za socialno varnost","12854 12422 12422 96,6 100,0",""
"402","Izdatki za blago in storitve","1900 1120 1120 58,9 100,0",""
"402","Izdatki za blago in storitve","32000 36494 32100 100,3 88,0",""
"1061","Investicije in investicijsko vzdrževanje pisarne bivšega predsednika Republike Slovenije","8346 2000 1690 20,2 84,5",""
"420","Nakup in gradnja osnovnih sredstev","8346 2000 1690 20,2 84,5",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","299000 248500 219202 73,3 88,2",""
"0304","Predsedovanje EU","299000 248500 219202 73,3 88,2",""
"03041101","Predsedovanje EU","299000 248500 219202 73,3 88,2",""
"402","Izdatki za blago in storitve","299000 248500 219202 73,3 88,2",""
"121","DRŽAVNI ZBOR","28332861 27759630 25951059 91,6 93,5",""
"1211","Državni zbor","28332861 27759630 25951059 91,6 93,5",""
"01","POLITIČNI SISTEM","27585675 27272444 25530705 92,6 93,6",""
"0101","Politični sistem","27585675 27272444 25530705 92,6 93,6",""
"01011201","Dejavnost državnega zbora","27585675 27272444 25530705 92,6 93,6",""
"3001","Plače","15221966 15812202 15758027 103,5 99,7",""
"400","Plače in drugi izdatki zaposlenim","12653529 13322263 13270727 104,9 99,6",""
"401","Prispevki delodajalcev za socialno varnost","2194872 2097127 2094488 95,4 99,9",""
"402","Izdatki za blago in storitve","373565 392812 392812 105,2 100,0",""
"3325","Materialni stroški","6424114 6211878 5294435 82,4 85,2",""
"402","Izdatki za blago in storitve","6424114 6211878 5294435 82,4 85,2",""
"2817","Investicije in investicijsko vzdrževanje državnih organov","3484292 2633292 2218420 63,7 84,3",""
"420","Nakup in gradnja osnovnih sredstev","3484292 2633292 2218420 63,7 84,3",""
"1175","Strokovna pomoč poslancem","2070315 2070315 1833140 88,5 88,5",""
"400","Plače in drugi izdatki zaposlenim","691246 844420 843885 122,1 99,9",""
"401","Prispevki delodajalcev za socialno varnost","105004 126829 126819 120,8 100,0",""
"402","Izdatki za blago in storitve","1274065 1099066 862436 67,7 78,5",""
"7415","Twinning projekt - nadaljna pomoč Skupščini Kosova","0 1530 1530 - 100,0",""
"400","Plače in drugi izdatki zaposlenim","0 1280 1280 - 100,0",""
"401","Prispevki delodajalcev za socialno varnost","0 206 206 - 100,0",""
"402","Izdatki za blago in storitve","0 44 43 - 98,3",""
"1202","Prevozna sredstva - sredstva odprodaje državnega premoženja","21699 17070 0 0,0 0,0",""
"420","Nakup in gradnja osnovnih sredstev","21699 17070 0 0,0 0,0",""
"124","Poročevalec","0 1118 0 - 0,0",""
"402","Izdatki za blago in storitve","0 1118 0 - 0,0",""
"125","Restavracija","248289 316976 280411 112,9 88,5",""
"402","Izdatki za blago in storitve","248289 316976 280411 112,9 88,5",""
"402","Izdatki za blago in storitve","0 899 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","0 18348 18348 - 100,0",""
"7816","Vzdrževanje službenih stanovanj - sredstva najemnine","115000 188815 126395 109,9 66,9",""
"402","Izdatki za blago in storitve","15000 48219 10506 70,0 21,8",""
"420","Nakup in gradnja osnovnih sredstev","100000 140596 115889 115,9 82,4",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","747186 487186 420354 56,3 86,3",""
"0304","Predsedovanje EU","",""
"03041201","Predsedovanje EU","747186 487186 420354 56,3 86,3",""
"7474","Predsedovanje EU","747186 487186 420354 56,3 86,3",""
"400","Plače in drugi izdatki zaposlenim","162547 162547 139271 85,7 85,7",""
"401","Prispevki delodajalcev za socialno varnost","29454 29454 16618 56,4 56,4",""
"402","Izdatki za blago in storitve","555185 295185 264465 47,6 89,6",""
"122","DRŽAVNI SVET","2331310 2343096 2328083 99,9 99,4",""
"1212","Državni svet","2331310 2343096 2328083 99,9 99,4",""
"01","POLITIČNI SISTEM","2331310 2343096 2328083 99,9 99,4",""
"0101","Politični sistem","2331310 2343096 2328083 99,9 99,4",""
"01011204","Dejavnost državnega sveta","2331310 2343096 2328083 99,9 99,4",""
"8131","Plače","989130 1027457 1025225 103,7 99,8",""
"400","Plače in drugi izdatki zaposlenim","835766 854095 852190 102,0 99,8",""
"401","Prispevki delodajalcev za socialno varnost","133104 148234 147908 111,1 99,8",""
"402","Izdatki za blago in storitve","20260 25128 25127 124,0 100,0",""
"8134","Materialni stroški","562561 534681 525252 93,4 98,2",""
"402","Izdatki za blago in storitve","562561 534681 525252 93,4 98,2",""
"2818","Investicije in investicijsko vzdrževanje državnih organov","45001 45001 44981 100,0 100,0",""
"420","Nakup in gradnja osnovnih sredstev","45001 45001 44981 100,0 100,0",""
"8139","Drugi odhodki za delo","734618 734618 731286 99,6 99,6",""
"402","Izdatki za blago in storitve","734618 734618 731286 99,6 99,6",""
"8721","Stvarno premoženje - sredstva odškodnine","0 1339 1338 - 100,0",""
"402","Izdatki za blago in storitve","0 1339 1338 - 100,0",""
"123","DRŽAVNA VOLILNA KOMISIJA","4384470 7732090 7699957 175,6 99,6",""
"1213","Državna volilna komisija","4384470 7732090 7699957 175,6 99,6",""
"01","POLITIČNI SISTEM","4384470 7732090 7699957 175,6 99,6",""
"0101","Politični sistem","4384470 7732090 7699957 175,6 99,6",""
"01011202","Izvedba in nadzor volitev in referendumov","4384470 7732090 7699957 175,6 99,6",""
"7660","Plače","131847 133907 133904 101,6 100,0",""
"400","Plače in drugi izdatki zaposlenim","109195 112782 112779 103,3 100,0",""
"401","Prispevki delodajalcev za socialno varnost","17725 18468 18468 104,2 100,0",""
"402","Izdatki za blago in storitve","4927 2657 2657 53,9 100,0",""
"7670","Materialni stroški","197796 197364 188000 95,1 95,3",""
"402","Izdatki za blago in storitve","197796 197364 188000 95,1 95,3",""
"2819","Investicije in investicijsko vzdrževanje državnih organov","10500 124004 123695 - 99,8",""
"420","Nakup in gradnja osnovnih sredstev","10500 124004 123695 - 99,8",""
"7379","Izvedba referendumov","0 3299784 3299708 - 100,0",""
"402","Izdatki za blago in storitve","0 3299784 3299708 - 100,0",""
"7335","Izvedba volitev članov Državnega sveta","5000 3558 3558 71,2 100,0",""
"402","Izdatki za blago in storitve","5000 3558 3558 71,2 100,0",""
"7000","Izvedba volitev v državni zbor","4032927 3968922 3946546 97,9 99,4",""
"402","Izdatki za blago in storitve","4032927 3968922 3946546 97,9 99,4",""
"6762","Stalna izplačila nadomestil (ZVDZ-B)","6400 4552 4546 71,0 99,9",""
"402","Izdatki za blago in storitve","6400 4552 4546 71,0 99,9",""
"124","VARUH ČLOVEKOVIH PRAVIC","1951480 1981071 1959364 100,4 98,9",""
"1214","Varuh človekovih pravic","1951480 1981071 1959364 100,4 98,9",""
"01","POLITIČNI SISTEM","1951480 1981071 1959364 100,4 98,9",""
"0101","Politični sistem","1951480 1981071 1959364 100,4 98,9",""
"01011203","Varovanje človekovih pravic in temeljnih svoboščin","1801260 1807117 1795327 99,7 99,4",""
"3095","Plače","1441000 1399066 1393991 96,7 99,6",""
"400","Plače in drugi izdatki zaposlenim","1213498 1174168 1173152 96,7 99,9",""
"401","Prispevki delodajalcev za socialno varnost","194852 192248 188459 96,7 98,0",""
"402","Izdatki za blago in storitve","32650 32650 32380 99,2 99,2",""
"3419","Materialni stroški","303260 362729 360380 118,8 99,4",""
"402","Izdatki za blago in storitve","303260 362729 360380 118,8 99,4",""
