"A","Bilanca odhodkov","",""
"11","PREDSEDNIK REPUBLIKE SLOVENIJE","3653797 3609478 3117673 85,3 86,4",""
"1111","Predsednik Republike Slovenije","3653797 3609478 3117673 85,3 86,4",""
"01","POLITIČNI SISTEM","3653797 3609478 3117673 85,3 86,4",""
"0101","Politični sistem","3653797 3609478 3117673 85,3 86,4",""
"01011101","Dejavnost Urada predsednika Republike Slovenije","3596037 3551718 3070182 85,4 86,4",""
"3000","Plače","1873949 1899237 1790508 95,6 94,3",""
"400","Plače in drugi izdatki zaposlenim","1614349 1639067 1543162 95,6 94,2",""
"401","Prispevki delodajalcev za socialno varnost","259600 260170 247347 95,3 95,1",""
"3324","Materialni stroški","1400475 1270298 899667 64,2 70,8",""
"402","Izdatki za blago in storitve","1400475 1270298 899667 64,2 70,8",""
"2815","Investicije in investicijsko vzdrževanje državnih organov","260293 305293 305110 117,2 99,9",""
"420","Nakup in gradnja osnovnih sredstev","260293 305293 305110 117,2 99,9",""
"6033","Odlikovanja Republike Slovenije","60000 74898 74898 124,8 100,0",""
"402","Izdatki za blago in storitve","60000 74898 74898 124,8 100,0",""
"420","Nakup in gradnja osnovnih sredstev","1320 1320 0 0,0 0,0",""
"402","Izdatki za blago in storitve","0 672 0 - 0,0",""
"01011102","Dejavnost bivšega predsednika Republike Slovenije","57760 57760 47491 82,2 82,2",""
"1027","Plače pisarne bivšega predsednika Republike Slovenije","42760 42760 38380 89,8 89,8",""
"400","Plače in drugi izdatki zaposlenim","36830 36830 33057 89,8 89,8",""
"401","Prispevki delodajalcev za socialno varnost","5930 5930 5322 89,8 89,8",""
"1046","Materialni stroški pisarne bivšega predsednika Republike Slovenije","15000 15000 9111 60,7 60,7",""
"402","Izdatki za blago in storitve","15000 15000 9111 60,7 60,7",""
"121","DRŽAVNI ZBOR","29228670 29646925 26135557 89,4 88,2",""
"1211","Državni zbor","29228670 29646925 26135557 89,4 88,2",""
"01","POLITIČNI SISTEM","29228670 29646925 26135557 89,4 88,2",""
"0101","Politični sistem","29228670 29646925 26135557 89,4 88,2",""
"01011201","Dejavnost državnega zbora","29228670 29646925 26135557 89,4 88,2",""
"3001","Plače","17544244 17756585 17406978 99,2 98,0",""
"400","Plače in drugi izdatki zaposlenim","14962277 15174618 15003503 100,3 98,9",""
"401","Prispevki delodajalcev za socialno varnost","2581967 2581967 2403475 93,1 93,1",""
"3325","Materialni stroški","6151381 6151381 4913387 79,9 79,9",""
"402","Izdatki za blago in storitve","6151381 6151381 4913387 79,9 79,9",""
"2817","Investicije in investicijsko vzdrževanje državnih organov","2715475 2715475 1485169 54,7 54,7",""
"420","Nakup in gradnja osnovnih sredstev","2715475 2715475 1485169 54,7 54,7",""
"1175","Strokovna pomoč poslancem","2447582 2447582 1990396 81,3 81,3",""
