"A","BILANCA ODHODKOV","",""
"1111","Predsednik Republike Slovenije","3453785 3484407 3143564 91,0 90,2",""
"01","POLITIČNI SISTEM","3453785 3484407 3143564 91,0 90,2",""
"0101","Politični sistem","3453785 3484407 3143564 91,0 90,2",""
"01011101","Dejavnost Urada predsednika Republike Slovenije","3395640 3426262 3100618 91,3 90,5",""
"01011102","Dejavnost bivšega predsednika Republike Slovenije","58145 58145 42946 73,9 73,9",""
"1211","Državni zbor","26589540 26719273 24896311 93,6 93,2",""
"01","POLITIČNI SISTEM","26589540 26719273 24896311 93,6 93,2",""
"0101","Politični sistem","26589540 26719273 24896311 93,6 93,2",""
"01011201","Dejavnost državnega zbora","26589540 26719273 24896311 93,6 93,2",""
"1212","Državni svet","2424758 2421987 2418386 99,7 99,9",""
"01","POLITIČNI SISTEM","2424758 2421987 2418386 99,7 99,9",""
"0101","Politični sistem","2424758 2421987 2418386 99,7 99,9",""
"01011204","Dejavnost državnega sveta","2424758 2421987 2418386 99,7 99,9",""
"1213","Državna volilna komisija","4952857 5542857 5492461 110,9 99,1",""
"01","POLITIČNI SISTEM","4952857 5542857 5492461 110,9 99,1",""
"0101","Politični sistem","4952857 5542857 5492461 110,9 99,1",""
"01011202","Izvedba in nadzor volitev in referendumov","4952857 5542857 5492461 110,9 99,1",""
"1214","Varuh človekovih pravic","2291904 2293196 2203184 96,1 96,1",""
"01","POLITIČNI SISTEM","2291904 2293196 2203184 96,1 96,1",""
"0101","Politični sistem","2291904 2293196 2203184 96,1 96,1",""
"01011203","Varovanje človekovih pravic in temeljnih svoboščin","2092082 2093374 2017784 96,5 96,4",""
"01011206","Izvajanje Opcijskega protokola","124822 124822 115355 92,4 92,4",""
"01011207","Urad zagovornikov otrok","75000 75000 70045 93,4 93,4",""
"1215","Informacijski pooblaščenec","1405795 1502973 1417678 100,9 94,3",""
"01","POLITIČNI SISTEM","1405795 1502973 1417678 100,9 94,3",""
"0101","Politični sistem","1405795 1502973 1417678 100,9 94,3",""
"01011205","Dostop do informacij javnega značaja","1405795 1502973 1417678 100,9 94,3",""
"1216","Svet Republike Slovenije za visoko šolstvo","2879169 2879169 601366 20,9 20,9",""
"19","IZOBRAŽEVANJE","2879169 2879169 601366 20,9 20,9",""
"1901","Urejanje izobraževalnega sistema","609725 609725 498143 81,7 81,7",""
"19011201","Urejanje izobraževalnega sistema","609725 609725 498143 81,7 81,7",""
"1904","Terciarno izobraževanje","2269444 2269444 103223 4,6 4,6",""
"19041201","Visokošolsko izobraževanje","2269444 2269444 103223 4,6 4,6",""
"1311","Ustavno sodišče","5103979 5080692 4993377 97,8 98,3",""
"01","POLITIČNI SISTEM","5103979 5080692 4993377 97,8 98,3",""
"0101","Politični sistem","5103979 5080692 4993377 97,8 98,3",""
"01011301","Ustavno sodišče in njegovo delovanje","5103979 5080692 4993377 97,8 98,3",""
"1312","Računsko sodišče","6428038 6366168 6014412 93,6 94,5",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","6428038 6366168 6014412 93,6 94,5",""
"0203","Fiskalni nadzor","6428038 6366168 6014412 93,6 94,5",""
"02031301","Dejavnost Računskega sodišča","6428038 6366168 6014412 93,6 94,5",""
"1314","Državna revizijska komisija","1312736 1307840 1135186 86,5 86,8",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","1312736 1307840 1135186 86,5 86,8",""
"0202","Urejanje na področju fiskalne politike","1312736 1307840 1135186 86,5 86,8",""
"02021301","Javna naročila in nadzor","1312736 1307840 1135186 86,5 86,8",""
"1315","Komisija za preprečevanje korupcije","1391591 1591591 1553835 111,7 97,6",""
"08","NOTRANJE ZADEVE IN VARNOST","1391591 1591591 1553835 111,7 97,6",""
"0801","Notranje zadeve","1391591 1591591 1553835 111,7 97,6",""
"08011301","Urejanje na področju preprečevanja korupcije","1391591 1591591 1553835 111,7 97,6",""
