"",""," ",""
"",""," ",""
""," POSEBNI DEL ZAKLJUČNEGA RAČUNA PRORAČUNA","II2 ",""
"","","II POSEBNI DEL",""
"","","v EUR",""
"","BLC / NADSKUPINA / SPU / PU / POL / PRG / POD","Rebalans Veljavni Realizacija Real /  Real / ",""
"","","2014 2014 2014",""
"","A Bilanca odhodkov","9816668881 9887825615 9654920966 98,35 97,64",""
"1","NEVLADNI PRORAČUNSKI UPORABNIKI","59607661 57714613 56099230 94,11 97,20",""
"11","PREDSEDNIK REPUBLIKE SLOVENIJE","2298863 2240352 2193147 95,40 97,89",""
"1111","Predsednik Republike Slovenije","2298863 2240352 2193147 95,40 97,89",""
"01","POLITIČNI SISTEM","2298863 2240352 2193147 95,40 97,89",""
"0101","Politični sistem","2298863 2240352 2193147 95,40 97,89",""
"010101","Dejavnost predsednika Republike Slovenije","2220273 2161767 2114563 95,24 97,82",""
"010102","Dejavnost bivšega predsednika Republike Slovenije","78589 78584 78584 99,99 100,00",""
"121","DRŽAVNI ZBOR","25018107 24103873 23172624 92,62 96,14",""
"1211","Državni zbor","25018107 24103873 23172624 92,62 96,14",""
"01","POLITIČNI SISTEM","25018107 24103873 23172624 92,62 96,14",""
"0101","Politični sistem","25018107 24103873 23172624 92,62 96,14",""
"010103","Dejavnost državnega zbora","25018107 24103873 23172624 92,62 96,14",""
"122","DRŽAVNI SVET","1879309 1895322 1888603 100,49 99,65",""
"1212","Državni svet","1879309 1895322 1888603 100,49 99,65",""
"01","POLITIČNI SISTEM","1879309 1895322 1888603 100,49 99,65",""
"0101","Politični sistem","1879309 1895322 1888603 100,49 99,65",""
"010104","Dejavnost državnega sveta","1879309 1895322 1888603 100,49 99,65",""
"123","DRŽAVNA VOLILNA KOMISIJA","10706308 10071333 10051730 93,89 99,81",""
"1213","Državna volilna komisija","10706308 10071333 10051730 93,89 99,81",""
"01","POLITIČNI SISTEM","10706308 10071333 10051730 93,89 99,81",""
"0101","Politični sistem","10706308 10071333 10051730 93,89 99,81",""
"010105","Izvedba in nadzor volitev in referendumov","10706308 10071333 10051730 93,89 99,81",""
"124","VARUH ČLOVEKOVIH PRAVIC","1985190 1868206 1851109 93,25 99,08",""
"1214","Varuh človekovih pravic","1985190 1868206 1851109 93,25 99,08",""
"01","POLITIČNI SISTEM","1985190 1868206 1851109 93,25 99,08",""
"0102","Varstvo ustavnosti, nadzor pravne države in človekovih pravic","1985190 1868206 1851109 93,25 99,08",""
"010203","Odprava in preprečevanje kršitev človekovih pravic","1851276 1748048 1736387 93,79 99,33",""
"010206","Izvajanje opcijskega sporazuma","133914 120158 114722 85,67 95,48",""
"125","INFORMACIJSKI POOBLAŠČENEC","1286317 1281556 1253100 97,42 97,78",""
"1215","Informacijski pooblaščenec","1286317 1281556 1253100 97,42 97,78",""
"01","POLITIČNI SISTEM","1286317 1281556 1253100 97,42 97,78",""
"0102","Varstvo ustavnosti, nadzor pravne države in človekovih pravic","1286317 1281556 1253100 97,42 97,78",""
"010205","Dostop do informacij javnega značaja in varstvo osebnih podatkov","1286317 1281556 1253100 97,42 97,78",""
