"","A Bilanca odhodkov","9652121502",""
"1","NEVLADNI PRORAČUNSKI UPORABNIKI","71140066",""
"11","PREDSEDNIK REPUBLIKE SLOVENIJE","3307827",""
"1111","Predsednik Republike Slovenije","3307827",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","3307827",""
"1201","Institucije političnega sistema","3307827",""
"120101","Dejavnost političnih institucij","3307827",""
"12010101","Delovanje UPRS in podpora izvrševanju funkcije predsednika republike in bivšega predsednika republike","3307827",""
"121","DRŽAVNI ZBOR","25884865",""
"1211","Državni zbor","25884865",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","25880465",""
"1201","Institucije političnega sistema","25880465",""
"120101","Dejavnost političnih institucij","25880465",""
"12010105","Dejavnost Državnega zbora","25880465",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","4400",""
"1303","Zunanja politika","4400",""
"130303","Razvojno sodelovanje in humanitarna pomoč","4400",""
"13030304","Tesno medinstitucionalno sodelovanje (namenska sredstva EU)","4400",""
"122","DRŽAVNI SVET","2327404",""
"1212","Državni svet","2327404",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2327404",""
"1201","Institucije političnega sistema","2327404",""
"120101","Dejavnost političnih institucij","2327404",""
"12010103","Dejavnost Državnega sveta Republike Slovenije","2327404",""
"123","DRŽAVNA VOLILNA KOMISIJA","12902551",""
"1213","Državna volilna komisija","12902551",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","12902551",""
"1201","Institucije političnega sistema","12902551",""
"120101","Dejavnost političnih institucij","12902551",""
"12010104","Izvedba volitev in referendumov","12902551",""
"124","VARUH ČLOVEKOVIH PRAVIC","2311319",""
"1214","Varuh človekovih pravic","2311319",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2311319",""
"1201","Institucije političnega sistema","2311319",""
"120103","Varstvo ustavnosti in nadzor človekovih pravic","2311319",""
"12010302","Varovanje človekovih pravic","2311319",""
"125","INFORMACIJSKI POOBLAŠČENEC","1539511",""
"1215","Informacijski pooblaščenec","1539511",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1539511",""
"1201","Institucije političnega sistema","1539511",""
"120102","Dejavnost institucij nadzora pravne države","1539511",""
"12010204","Dejavnost Informacijskega pooblaščenca","1539511",""
"127","NACIONALNA AGENCIJA RS ZA KAKOVOST V VISOKEM ŠOLSTVU","2706785",""
"1217","Nacionalna agencija RS za kakovost v visokem šolstvu","2706785",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","2706785",""
"0201","Visoko šolstvo","2706785",""
"020101","Visokošolsko izobraževanje","2706785",""
"02010105","Kakovost visokega šolstva","2706785",""
"131","USTAVNO SODIŠČE","4809738",""
"1311","Ustavno sodišče","4809738",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","4809738",""
"1201","Institucije političnega sistema","4809738",""
"120103","Varstvo ustavnosti in nadzor človekovih pravic","4809738",""
"12010301","Varstvo ustavnosti in zakonitosti","4809738",""
"132","RAČUNSKO SODIŠČE","6116143",""
"1312","Računsko sodišče","6116143",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","6116143",""
"1201","Institucije političnega sistema","6116143",""
"120102","Dejavnost institucij nadzora pravne države","6116143",""
"12010201","Dejavnost računskega sodišča","6116143",""
"134","DRŽAVNA REVIZIJSKA KOMISIJA","1272751",""
"1314","Državna revizijska komisija","1272751",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1272751",""
"1201","Institucije političnega sistema","1272751",""
"120102","Dejavnost institucij nadzora pravne države","1272751",""
"12010202","Dejavnost Državne revizijske komisije","1272751",""
"135","KOMISIJA ZA PREPREČEVANJE KORUPCIJE","1942299",""
"1315","Komisija za preprečevanje korupcije","1942299",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1942299",""
"1201","Institucije političnega sistema","1942299",""
"120102","Dejavnost institucij nadzora pravne države","1942299",""
"12010203","Dejavnost Komisije za preprečevanje korupcije","1942299",""
"136","AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB RS","1895591",""
"1316","Agencija za upravljanje kapitalskih naložb RS","1895591",""
"01","PODJETNIŠTVO IN KONKURENČNOST","1895591",""
"0102","Spodbujanje rasti in razvoja podjetij","1895591",""
"010204","Podpora prestrukturiranju nefinančnih družb","1895591",""
"01020407","Upravljanje s finančnim premoženjem države","1895591",""
"39","SLOVENSKA AKADEMIJA ZNANOSTI IN UMETNOSTI","4123282",""
"3911","Slovenska akademija znanosti in umetnosti","4123282",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","4123282",""
"0202","Znanstveno - raziskovalna dejavnost","4123282",""
"020201","Raziskovalni programi in projekti","564369",""
"02020104","Raziskovalni programi in projekti","564369",""
"020202","Človeški viri v podporo znanosti, visokega šolstva in tehnološkega razvoja","3558913",""
"02020204","Podpora znanosti in umetnosti","3558913",""
"2","VLADNI PRORAČUNSKI UPORABNIKI","9379147368",""
"14","KABINET PREDSEDNIKA VLADE","1852805",""
"1411","Kabinet predsednika vlade","1852805",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","1852805",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1852805",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1852805",""
"14030101","Dejavnost Kabineta predsednika vlade","1852805",""
"15","VLADNE SLUŽBE","30227068",""
"1511","Generalni sekretariat vlade","14044181",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2688195",""
"1201","Institucije političnega sistema","2688195",""
"120101","Dejavnost političnih institucij","2688195",""
"12010106","Politične institucije","2688195",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","11355986",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","11355986",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","11355986",""
"14030102","Delovanje vlade","7155986",""
"14030104","JGZ Brdo","4200000",""
"1512","Protokol v vladi Republike Slovenije","1643471",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","1643471",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1643471",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1643471",""
"14030103","Izvajanje Protokola Vlade RS","1643471",""
"1515","Urad za enake možnosti","596904",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","596904",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","596904",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","596904",""
"14030106","Spremljanje položaja žensk in uresničevanje njihovih pravic","596904",""
"1516","Urad za narodnosti vlade Republike Slovenije","4957327",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","4957327",""
"1202","Podpora nevladnih organizacij in civilne družbe","4957327",""
"120201","Podpora nevladnih organizacij in civilne družbe","4957327",""
"12020101","Podpora narodnim skupnostim in Romom","4957327",""
"1518","Urad vlade za komuniciranje","5731806",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","5731806",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","5731806",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","5731806",""
"14030105","Komuniciranje z javnostmi","5731806",""
"1526","Urad vlade za verske skupnosti","2756766",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2756766",""
"1202","Podpora nevladnih organizacij in civilne družbe","2756766",""
"120201","Podpora nevladnih organizacij in civilne družbe","2756766",""
"12020102","Podpora verskim skupnostim","2756766",""
"1535","Urad za varovanje tajnih podatkov","496613",""
