"I.","SKUPAJ PRIHODKI (70+71+72+73+74)",4843695815
,"TEKOČI PRIHODKI (70+71)",4789426911
70,"DAVČNI PRIHODKI",4365116842
700,"Davki na dohodek in dobiček",1055286263
7000,"Dohodnina",789934902
7001,"Davek od dobička pravnih oseb",265351360
701,"Prispevki za socialno varnost",30711067
7010,"Prispevki zaposlenih",17546737
7011,"Prispevki delodajalcev",11310716
7012,"Prispevki samozaposlenih",1700885
7013,"Ostali prispevki za socialno varnost",152729
702,"Davki na plačilno listo in delovno silo",344477550
7020,"Davek na izplačane plače",325488232
7021,"Posebni davek na določene prejemke",18989317
703,"Davki na premoženje",10557503
7033,"Davki na promet nepremičnin in na finančno premoženje",10557503
704,"Domači davki na blago in storitve",2775403105
7040,"Splošni prometni davki, davki na dodano vrednost",1877499374
7041,"Drugi davki na blago in storitve",37562594
7042,"Trošarine (akcize)",671799366
7044,"Davki na posebne storitve",70604448
7046,"Pristojbine za motorna vozila",72170756
7047,"Drugi davki na uporabo blaga in storitev",24922801
7048,"Davek na promet motornih vozil",20843766
705,"Davki na mednarodno trgovino in transakcije",148681355
7050,"Carine",140126857
7051,"Druge uvozne dajatve",8554498
71,"NEDAVČNI PRIHODKI",424310069
710,"Udeležba na dobičku in dohodki od premoženja",212176598
7100,"Udeležba na dobičku javnih podjetij in javnih finančnih institucij",33575363
7101,"Prihodki od udeležbe na dobičku drugih podjetij in finančnih institucij",834585
7102,"Prihodki od obresti",28375897
7103,"Prihodki od premoženja",149390753
711,"Takse in pristojbine",91136705
7110,"Sodne takse",34042731
7111,"Upravne takse",57093974
712,"Denarne kazni",32738691
7120,"Denarne kazni",32738691
713,"Prihodki od prodaje blaga in storitev",27302475
7130,"Prihodki od prodaje blaga in storitev",27302475
714,"Drugi nedavčni prihodki",60955600
7141,"Drugi nedavčni prihodki",60955600
72,"KAPITALSKI PRIHODKI",12518778
720,"Prodaja osnovnih sredstev",10432315
7200,"Prihodki od prodaje zgradb in prostorov",9806376
7201,"Prihodki od prodaje prevoznih sredstev",208646
7202,"Prihodki od prodaje opreme",417293
722,"Prodaja zemljišč in nematerialnega premoženja",2086463
7220,"Prihodki od prodaje kmetijskih zemljišč in gozdov",0
7221,"Prihodki od prodaje stavbnih zemljišč",2086463
73,"PREJETE DONACIJE",41729261
730,"Prejete donacije iz domačih virov",0
7300,"Prejete donacije iz domačih virov za tekočo porabo",0
731,"Prejete donacije iz tujine",41729261
7310,"Prejete donacije iz tujine za tekočo porabo",37556335
7311,"Prejete donacije iz tujine za investicije",4172926
74,"TRANSFERNI PRIHODKI",20865
740,"Transferni prihodki iz drugih javnofinančnih institucij",20865
7402,"Prejeta sredstva iz skladov socialnega zavarovanja",20865
"II.","SKUPAJ ODHODKI (40+41+42+43)",5050808968
40,"TEKOČI ODHODKI",1572946086
400,"Plače in drugi izdatki zaposlenim",569441012
4000,"Plače in dodatki",484612911
4001,"Regres za letni dopust",16982023
4002,"Povračila in nadomestila",43032528
4003,"Sredstva za delovno uspešnost",11998915
4004,"Nadurno delo",7883079
4005,"Plače za delo po pogodbi",91350
4009,"Drugi izdatki zaposlenim",4840206
401,"Prispevki delodajalcev za socialno varnost",91730433
4010,"Prispevek za pokojninsko in invalidsko zavarovanje",56895393
4011,"Prispevek za zdravstveno zavarovanje",34043774
4012,"Prispevek za zaposlovanje",296900
4013,"Prispevek za porodniško varstvo",494367
402,"Izdatki za blago in storitve",573415202
4020,"Pisarniški in splošni material in storitve",81866350
4021,"Posebni material in storitve",134280633
4022,"Energija, voda, komunalne storitve in komunikacije",37075709
4023,"Prevozni stroški in storitve",22353205
4024,"Izdatki za službena potovanja",14293824
4025,"Tekoče vzdrževanje",81184710
4026,"Najemnine in zakupnine (leasing)",42798640
4027,"Kazni in odškodnine",20999069
4028,"Davek na izplačane plače",26265256
4029,"Drugi operativni odhodki",112297805
403,"Plačila domačih obresti",147636409
4031,"Plačila obresti od kreditov - poslovnim bankam",22178710
4033,"Plačila obresti od kreditov - drugim domačim kreditodajalcem",2433
4034,"Plačila obresti od vrednostnih papirjev",125455266
404,"Plačila obresti v tujino",149027153
4040,"Plačila obresti - mednarodnim finančnim institucijam",22672521
4041,"Plačila obresti - tujim vladam",503063
4042,"Plačila obresti - tujim poslovnim bankam in finančnim institucijam",15497509
4043,"Plačila obresti - drugim tujim kreditodajalcem",0
4044,"Plačila obresti od vred.papirjev izdanih na tujih trgih",110354060
409,"Rezerve",41695877
4090,"Tekoča proračunska rezerva",16658321
4091,"Rezerva za naravne nesreče",25037556
41,"TEKOČI TRANSFERI",2976058212
410,"Subvencije",247911964
4100,"Subvencije javnim podjetjem",44319079
4102,"Subvencije privatnim podjetjem in zasebnikom",203592885
411,"Transferi posameznikom in gospodinjstvom",700834744
4110,"Transferi nezaposlenim",107455250
4111,"Družinski prejemki in starševska nadomestila",339583125
4112,"Transferi za zagotavljanje socialne varnosti",76298356
