"I.","SKUPAJ PRIHODKI (70+71+72+73+74)",5820700676
,"TEKOČI PRIHODKI (70+71)",5733191496
70,"DAVČNI PRIHODKI",5296277374
700,"Davki na dohodek in dobiček",1329252963
7000,"Dohodnina",971677641
7001,"Davek od dobička pravnih oseb",357575321
701,"Prispevki za socialno varnost",37263687
7010,"Prispevki zaposlenih",20476006
7011,"Prispevki delodajalcev",13816099
7012,"Prispevki samozaposlenih",2149057
7013,"Ostali prispevki za socialno varnost",822525
702,"Davki na plačilno listo in delovno silo",450220497
7020,"Davek na izplačane plače",428607244
7021,"Posebni davek na določene prejemke",21613253
703,"Davki na premoženje",8175221
7033,"Davki na promet nepremičnin in na finančno premoženje",8175221
704,"Domači davki na blago in storitve",3335531714
7040,"Splošni prometni davki, davki na dodano vrednost",2225107745
7041,"Drugi davki na blago in storitve",55312135
7042,"Trošarine (akcize)",809923218
7044,"Davki na posebne storitve",90459856
7046,"Letna povračila za uporabo cest",88445168
7047,"Drugi davki na uporabo blaga in storitev",37884744
7048,"Davki na motorna vozila",28398848
705,"Davki na mednarodno trgovino in transakcije",134856284
7050,"Carine",128234101
7051,"Druge uvozne dajatve",6622183
706,"Drugi davki",977007
7060,"Drugi davki",977007
71,"NEDAVČNI PRIHODKI",436914121
710,"Udeležba na dobičku in dohodki od premoženja",176796445
7100,"Prihodki od udeležbe na dobičku in dividend javnih podjetij, javnih skladov in javnih finančnih institucij",90761142
7101,"Prihodki od udeležbe na dobičku in dividend drugih podjetij in finančnih institucij",5424804
7102,"Prihodki od obresti",40383492
7103,"Prihodki od premoženja",40227007
711,"Takse in pristojbine",105011684
7110,"Sodne takse",33041229
7111,"Upravne takse in pristojbine",71970456
712,"Denarne kazni",35282090
7120,"Denarne kazni",35282090
713,"Prihodki od prodaje blaga in storitev",28313303
7130,"Prihodki od prodaje blaga in storitev",28313303
714,"Drugi nedavčni prihodki",91510599
7141,"Drugi nedavčni prihodki",91510599
72,"KAPITALSKI PRIHODKI",14922384
720,"Prihodki od prodaje osnovnih sredstev",12729511
7200,"Prihodki od prodaje zgradb in prostorov",11545235
7201,"Prihodki od prodaje prevoznih sredstev",918044
7202,"Prihodki od prodaje opreme",35887
7203,"Prihodki od prodaje drugih osnovnih sredstev",230346
722,"Prihodki od prodaje zemljišč in neopredmetenih dolgoročnih sredstev",2192873
7221,"Prihodki od prodaje stavbnih zemljišč",2192873
73,"PREJETE DONACIJE",72149892
730,"Prejete donacije iz domačih virov",41729
7300,"Prejete donacije iz domačih virov za tekočo porabo",41729
7301,"Prejete donacije iz domačih virov za investicije",0
731,"Prejete donacije iz tujine",72108162
7310,"Prejete donacije iz tujine za tekočo porabo",16608246
7311,"Prejete donacije iz tujine za investicije",55499917
74,"TRANSFERNI PRIHODKI",436905
740,"Transferni prihodki iz drugih javnofinančnih institucij",436905
7400,"Prejeta sredstva iz državnega proračuna",410616
7402,"Prejeta sredstva iz skladov socialnega zavarovanja",26289
"II.","SKUPAJ ODHODKI (40+41+42+43)",6049291216
40,"TEKOČI ODHODKI",1807771912
400,"Plače in drugi izdatki zaposlenim",702365765
4000,"Plače in dodatki",597942539
4001,"Regres za letni dopust",20838900
4002,"Povračila in nadomestila",56568853
4003,"Sredstva za delovno uspešnost",14453877
4004,"Sredstva za nadurno delo",7501481
4005,"Plače za delo nerezidentov po pogodbi",92071
4009,"Drugi izdatki zaposlenim",4968040
401,"Prispevki delodajalcev za socialno varnost",114582157
4010,"Prispevek za pokojninsko in invalidsko zavarovanje",70835007
4011,"Prispevek za zdravstveno zavarovanje",42768828
4012,"Prispevek za zaposlovanje",368315
4013,"Prispevek za starševsko varstvo",610003
402,"Izdatki za blago in storitve",607332874
4020,"Pisarniški in splošni material in storitve",84137740
4021,"Posebni material in storitve",142208129
4022,"Energija, voda, komunalne storitve in komunikacije",48157152
4023,"Prevozni stroški in storitve",31516633
4024,"Izdatki za službena potovanja",16827600
4025,"Tekoče vzdrževanje",86931731
4026,"Najemnine in zakupnine (leasing)",51778113
4027,"Kazni in odškodnine",12741546
4028,"Davek na izplačane plače",35232361
4029,"Drugi operativni odhodki",97801874
403,"Plačila domačih obresti",216072563
4031,"Plačila obresti od kreditov - poslovnim bankam",37948035
4032,"Plačila obresti od kreditov - drugim finančnim institucijam",764067
4033,"Plačila obresti od kreditov - drugim domačim kreditodajalcem",2754
4034,"Plačila obresti od vrednost. papirjev izdanih na domač. trgu",177357707
404,"Plačila tujih obresti",137674866
4040,"Plačila obresti od kreditov - mednarodnim finančnim institucijam",17968803
4041,"Plačila obresti od kreditov - tujim vladam",105830
4042,"Plačila obresti od kreditov - tujim poslovnim bankam in finančnim institucijam",8687193
4044,"Plačila obresti od vrednostnih papirjev, izdanih na tujih trgih",110913040
409,"Rezerve",29743691
4090,"Splošna proračunska rezervacija",16807620
4091,"Proračunska rezerva",12936071
4092,"Druge rezerve",0
41,"TEKOČI TRANSFERI",3588613771
410,"Subvencije",288662882
4100,"Subvencije javnim podjetjem",57144621
4102,"Subvencije privatnim podjetjem in zasebnikom",231518261
411,"Transferi posameznikom in gospodinjstvom",844209990
4110,"Transferi nezaposlenim",97943140
4111,"Družinski prejemki in starševska nadomestila",410902103
4112,"Transferi za zagotavljanje socialne varnosti",123060424
4113,"Transferi vojnim invalidom, veteranom in žrtvam vojnega nasilja",77556197
4115,"Nadomestila plač",0
4117,"Štipendije",87532691
4119,"Drugi transferi posameznikom",47215436
412,"Transferi neprofitnim organizacijam in ustanovam",40660286
4120,"Tekoči transferi neprofitnim organizacijam in ustanovam",40660286
413,"Drugi tekoči domači transferi",2402721361
4130,"Tekoči transferi drugim ravnem države",160506088
4131,"Tekoči transferi v sklade socialnega zavarovanja",952502679
4132,"Tekoči transferi v druge javne sklade in agencije",17334051
4133,"Tekoči transferi v javne zavode in druge izvajalce javnih služb",1271967898
4134,"Tekoči transferi v državni proračun",410641
414,"Tekoči transferi v tujino",12359251
4140,"Tekoči transferi mednarodnim institucijam",638700
4141,"Tekoči transferi tujim vladam in vladnim institucijam",1734293
4142,"Tekoči transferi neprofitnim organizacijam v tujini",2374428
4143,"Drugi tekoči transferi v tujino",7611830
42,"INVESTICIJSKI ODHODKI",340842668
420,"Nakup in gradnja osnovnih sredstev",340842668
4200,"Nakup zgradb in prostorov",6671516
4201,"Nakup prevoznih sredstev",6533354
4202,"Nakup opreme",70965056
4203,"Nakup drugih osnovnih sredstev",213141
4204,"Novogradnje, rekonstrukcije in adaptacije",169161463
4205,"Investicijsko vzdrževanje in obnove",47705325
4206,"Nakup zemljišč in naravnih bogastev",8470752
4207,"Nakup nematerialnega premoženja",1155734
4208,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",29812832
4209,"Nakup blagovnih rezerv in intervencijskih zalog",153501
43,"INVESTICIJSKI TRANSFERI",312062865
430,"Investicijski transferi",312062865
4300,"Investicijski transferi drugim ravnem države",67580371
4301,"Investicijski transferi javnim skladom in agencijam",6749366
4302,"Investicijski transferi neprofitnim organizacijam",11905208
4303,"Investicijski transferi javnim podjetjem",156055571
4305,"Investicijski transferi privatnim podjetjem in zasebnikom",28954469
4306,"Investicijski transferi posameznikom",16893465
4307,"Investicijski transfer javnim zavodom in drugim izvajalcem javnih služb",23725392
4308,"Investicijski transferi v tujino",199024
"III.","PRORAČUNSKI PRESEŽEK (PRORAČUNSKI PRIMANJKLJAJ) (I. - II.)",-228590540
"III/1.","PRIMARNI PRESEŽEK   (PRIMANJKLJAJ) (I. - 7102) - ( II. - 403 – 404)",84773398
"III/2.","TEKOČI PRESEŽEK   (PRIMANJKLJAJ) (70 + 71) - (40 + 41)",336805809
"IV.","PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV (750+751+752)",203392151
75,"PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV",203392151
750,"Prejeta vračila danih posojil",12480784
7500,"Prejeta vračila danih posojil - od posameznikov",0
7502,"Prejeta vračila danih posojil - od javnih podjetij",743336
7503,"Prejeta vračila danih posojil - od finančnih institucij",8460875
7504,"Prejeta vračila danih posojil - od privatnih podjetij in zasebnikov",3276573
751,"Prodaja kapitalskih deležev",190869638
7510,"Sredstva, pridobljena s prodajo kapitalskih deležev v javnih podjetjih",187781673
7511,"Sredstva, pridobljena s prodajo kapitalskih deležev v finančnih institucijah",0
7512,"Sredstva, pridobljena s prodajo kapitalskih deležev v privatnih podjetjih",3087965
752,"Kupnine iz naslova privatizacije",41729
7520,"Sredstva kupnin iz naslova privatizacije",41729
"V.","DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV (440+441+442)",216163933
44,"DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV",216163933
440,"Dana posojila",43022137
4400,"Dana posojila posameznikom",8346
4401,"Dana posojila javnim skladom",0
4404,"Dana posojila privatnim podjetjem in zasebnikom",43013792
441,"Povečanje kapitalskih deležev in naložb",171430896
4410,"Povečanje kapitalskih deležev v javnih podjetjih",126697129
4411,"Povečanje kapitalskih deležev v finančnih institucijah",37556335
4412,"Povečanje kapitalskih deležev v privatnih podjetjih",6259389
4414,"Povečanje kapitalskih deležev v tujino",918044
4415,"Povečanje drugih finančnih naložb",0
442,"Poraba sredstev kupnin iz naslova privatizacije",41729
4420,"Dana posojila iz sredstev kupnin",10015
4421,"Sredstva kupnin, razporejena v javne sklade in agencije",29210
4422,"Povečanje kapitalskih deležev države iz sredstev kupnin",2504
443,"Povečanje namenskega premoženja v javnih skladih in drugih pravnih osebah javnega prava, ki imajo premoženje v svoji lasti",1669170
4430,"Povečanje  namenskega premoženja v javnih skladih",1669170
"VI.","VI. PREJETA MINUS DANA POSJILA IN SPREMEMBE KAPITALSKIH DELEŽEV (IV. - V.)",-12771783
"VII.","VII. ZADOLŽEVANJE (500+501)",895280926
50,"ZADOLŽEVANJE",895280926
500,"Domače zadolževanje",895280926
5000,"Najeti krediti pri Banki Slovenije",-0
5001,"Najeti krediti pri poslovnih bankah",-0
5004,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",0
501,"Zadolževanje v tujini",0
5010,"Najeti krediti pri mednarodnih finančnih institucijah",-0
5011,"Najeti krediti pri tujih vladah",-0
