"I.","SKUPAJ PRIHODKI (70+71+72+73+74+78)",1619131927
,"TEKOČI PRIHODKI (70+71)",1511960410
70,"DAVČNI PRIHODKI",1429175780
700,"Davki na dohodek in dobiček",381667700
7000,"Dohodnina",252206900
7001,"Davek od dobička pravnih oseb",129460800
701,"Prispevki za socialno varnost",10167530
7010,"Prispevki zaposlenih",5605760
7011,"Prispevki delodajalcev",3813590
7012,"Prispevki samozaposlenih",528785
7013,"Ostali prispevki za socialno varnost",219395
702,"Davki na plačilno listo in delovno silo",123498350
7020,"Davek na izplačane plače",118682800
7021,"Posebni davek na določene prejemke",4815550
703,"Davki na premoženje",0
7033,"Davki na promet nepremičnin in na finančno premoženje",0
704,"Domači davki na blago in storitve",888591100
7040,"Splošni prometni davki, davki na dodano vrednost",589372900
7041,"Drugi davki na blago in storitve",14266000
7042,"Trošarine (akcize)",218932300
7044,"Davki na posebne storitve",24039900
7046,"Letna povračila za uporabo cest",23803400
7047,"Drugi davki na uporabo blaga in storitev",9355100
7048,"Davki na motorna vozila",8821500
705,"Davki na mednarodno trgovino in transakcije",16484500
7050,"Carine",15665850
7051,"Druge uvozne dajatve",818650
706,"Drugi davki",8766600
7060,"Drugi davki",8766600
71,"NEDAVČNI PRIHODKI",82784630
710,"Udeležba na dobičku in dohodki od premoženja",22615760
7100,"Prihodki od udeležbe na dobičku in dividend javnih podjetij, javnih skladov in javnih finančnih institucij",9018210
7101,"Prihodki od udeležbe na dobičku in dividend drugih podjetij in finančnih institucij",16800
7102,"Prihodki od obresti",6751350
7103,"Prihodki od premoženja",6829400
711,"Takse in pristojbine",21675570
7110,"Sodne takse",8396800
7111,"Upravne takse in pristojbine",13278770
712,"Denarne kazni",8645350
7120,"Denarne kazni",8645350
713,"Prihodki od prodaje blaga in storitev",3262000
7130,"Prihodki od prodaje blaga in storitev",3262000
714,"Drugi nedavčni prihodki",26585950
7140,"Drugi prostovoljni prispevki za socialno varnost",0
7141,"Drugi nedavčni prihodki",26585950
