"I.","I. SKUPAJ PRIHODKI (70+71+72+73+74+78)",7023220986
,"TEKOČI PRIHODKI (70+71)",6515345706
70,"DAVČNI PRIHODKI",6049692752
700,"Davki na dohodek in dobiček",1663498777
7000,"Dohodnina",1052867622
7001,"Davek od dohodkov pravnih oseb",610631155
701,"Prispevki za socialno varnost",42501874
7010,"Prispevki zaposlenih",23801047
7011,"Prispevki delodajalcev",15725693
7012,"Prispevki samozaposlenih",2125092
7013,"Ostali prispevki za socialno varnost",850038
702,"Davki na plačilno listo in delovno silo",514722334
7020,"Davek na izplačane plače",492074549
7021,"Posebni davek na določene prejemke",22647784
704,"Domači davki na blago in storitve",3781296436
7040,"Davek na dodano vrednost",2458000976
7041,"Drugi davki na blago in storitve",44687381
7042,"Trošarine (akcize)",991279686
7044,"Davki na posebne storitve",107002704
7046,"Letna povračila za uporabo cest",93617614
7047,"Drugi davki na uporabo blaga in storitev",37781860
7048,"Davki na motorna vozila",48926214
705,"Davki na mednarodno trgovino in transakcije",36304457
7050,"Carine",36304457
706,"Drugi davki",11368874
7060,"Drugi davki",11368874
71,"NEDAVČNI PRIHODKI",465652954
710,"Udeležba na dobičku in dohodki od premoženja",205152216
7100,"Prihodki od udeležbe na dobičku in dividend ter presežkov prihodkov nad odhodki",116466358
7102,"Prihodki od obresti",12801494
7103,"Prihodki od premoženja",75884364
711,"Takse in pristojbine",76836905
7110,"Sodne takse",32168507
7111,"Upravne takse in pristojbine",44668398
712,"Denarne kazni",34326728
7120,"Denarne kazni",34326728
713,"Prihodki od prodaje blaga in storitev",13770414
7130,"Prihodki od prodaje blaga in storitev",13770414
714,"Drugi nedavčni prihodki",135566692
7141,"Drugi nedavčni prihodki",135566692
72,"KAPITALSKI PRIHODKI",14380625
720,"Prihodki od prodaje osnovnih sredstev",14380625
7200,"Prihodki od prodaje zgradb in prostorov",14380625
73,"PREJETE DONACIJE",9406844
730,"Prejete donacije iz domačih virov",45973
7300,"Prejete donacije in darila od domačih pravnih oseb",45973
731,"Prejete donacije iz tujine",8765978
7310,"Prejete donacije in darila od tujih nevladnih organizacij in fundacij",8765978
732,"Donacije za odpravo posledic naravnih nesreč",594892
7320,"Donacije za odpravo posledic naravnih nesreč",594892
74,"TRANSFERNI PRIHODKI",438775
740,"Transferni prihodki iz drugih javnofinančnih institucij",438775
7400,"Prejeta sredstva iz državnega proračuna",438775
78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",483649040
780,"Predpristopna sredstva Evropske unije",57821749
7800,"Prejeta sredstva PHARE",40771173
7801,"Prejeta sredstva ISPA",12613587
7802,"Prejeta sredstva SAPARD",4436989
781,"Prejeta sredstva iz proračuna EU za izvajanje skupne kmetijske politike",114062598
7810,"Prejeta sredstva iz proračuna EU iz naslova tržnih ukrepov v kmetijstvu iz Evropskega kmetijskega jamstvenega in usmerjevalnega sklada - Jamstveni del (EAGGF - Guarantee Fund)",20668941
7811,"Prejeta sredstva iz proračuna EU iz naslova neposrednih plačil v kmetijstvu iz Evropskega kmetijskega jamstvenega in usmerjevalnega sklada - Jamstveni del (EAGGF - Guarantee Fund)",27011350
7812,"Prejeta sredstva iz proračuna EU iz naslova programa razvoja podeželja iz Evropskega kmetijskega jamstvenega in usmerjevalnega sklada - Jamstveni del (EAGGF - Guarantee Fund)",66382307
782,"Prejeta sredstva iz proračuna EU za strukturno politiko",111757783
7820,"Prejeta sredstva iz proračuna EU iz Evropskega kmetijskega jamstvenega in usmerjevalnega sklada - Usmerjevalni del (EAGGF - Guidance Fund)",7169300
7821,"Prejeta sredstva iz proračuna EU iz Evropskega sklada za regionalni razvoj (ERDF)",70180537
7822,"Prejeta sredstva iz Evropskega socialnega sklada (ESF)",33976256
7823,"Prejeta sredstva iz proračuna EU iz naslova Finančnega instrumenta za usmerjanje ribištva (FIFG)",431689
783,"Prejeta sredstva iz proračuna EU za kohezijsko politiko",42437915
7830,"Prejeta sredstva iz Kohezijskega sklada (CF)",42437915
784,"Prejeta sredstva iz proračuna EU za izvajanje notranje politike",65078593
7840,"Prejeta sredstva iz proračuna EU za Schengensko mejo",61676198
7841,"Druga prejeta sredstva iz proračuna EU za izvajanje notranje politike",3402395
785,"Prejeta sredstva iz proračuna EU iz naslova pavšalnih povračil",92490402
7850,"Prejeta sredstva iz proračuna EU iz naslova pavšalnih povračil za krepitev denarnega toka",19819730
7851,"Prejeta sredstva iz proračuna EU iz naslova pavšalnih povračil za proračunsko izravnavo",72670673
"II.","SKUPAJ ODHODKI (40+41+42+43+45)",7406882419
40,"TEKOČI ODHODKI",2047364580
400,"Plače in drugi izdatki zaposlenim",796474483
4000,"Plače in dodatki",657911964
4001,"Regres za letni dopust",35136834
4002,"Povračila in nadomestila",78790436
4003,"Sredstva za delovno uspešnost",13747446
4004,"Sredstva za nadurno delo",5613725
4005,"Plače za delo nerezidentov po pogodbi",12419
4009,"Drugi izdatki zaposlenim",5261655
401,"Prispevki delodajalcev za socialno varnost",138616508
4010,"Prispevek za pokojninsko in invalidsko zavarovanje",77540795
4011,"Prispevek za zdravstveno zavarovanje",46275918
4012,"Prispevek za zaposlovanje",609623
4013,"Prispevek za starševsko varstvo",723740
4015,"Premije kolektivnega dodatnega pokojninskega zavarovanja, na podlagi ZKDPZJU",13466429
402,"Izdatki za blago in storitve",695989584
4020,"Pisarniški in splošni material in storitve",101520360
4021,"Posebni material in storitve",152517622
4022,"Energija, voda, komunalne storitve in komunikacije",58768156
4023,"Prevozni stroški in storitve",36569175
4024,"Izdatki za službena potovanja",23708396
4025,"Tekoče vzdrževanje",104287281
4026,"Poslovne najemnine in zakupnine",50591625
4027,"Kazni in odškodnine",29857770
4028,"Davek na izplačane plače",40018006
4029,"Drugi operativni odhodki",98151193
403,"Plačila domačih obresti",249643824
4031,"Plačila obresti od kreditov - poslovnim bankam",17846207
4032,"Plačila obresti od kreditov - drugim finančnim institucijam",671524
4033,"Plačila obresti od kreditov - drugim domačim kreditodajalcem",3971937
4034,"Plačila obresti od vrednostnih papirjev izdanih na domačem trgu",227154156
404,"Plačila tujih obresti",118179782
4040,"Plačila obresti od kreditov - mednarodnim finančnim institucijam",11069972
4042,"Plačila obresti od kreditov - tujim poslovnim bankam in finančnim institucijam",5771474
4044,"Plačila obresti od vrednostnih papirjev, izdanih na tujih trgih",101338337
409,"Rezerve",48460403
4090,"Splošna proračunska rezervacija",8420965
4091,"Proračunska rezerva",27293987
4092,"Druge rezerve",6232745
4093,"Sredstva za posebne namene",6512707
41,"TEKOČI TRANSFERI",4341517213
410,"Subvencije",334804177
4100,"Subvencije javnim podjetjem",65793645
4102,"Subvencije privatnim podjetjem in zasebnikom",269010532
411,"Transferi posameznikom in gospodinjstvom",911987239
4110,"Transferi nezaposlenim",100064630
4111,"Družinski prejemki in starševska nadomestila",427802758
4112,"Transferi za zagotavljanje socialne varnosti",160610866
4113,"Transferi vojnim invalidom, veteranom in žrtvam vojnega nasilja",76604407
4117,"Štipendije",93457837
4119,"Drugi transferi posameznikom",53446745
412,"Transferi neprofitnim organizacijam in ustanovam",66550597
4120,"Tekoči transferi neprofitnim organizacijam in ustanovam",66550597
413,"Drugi tekoči domači transferi",3014745977
4130,"Tekoči transferi občinam",210175576
4131,"Tekoči transferi v sklade socialnega zavarovanja",1100459135
4132,"Tekoči transferi v javne sklade",23732152
4133,"Tekoči transferi v javne zavode",1510900634
4134,"Tekoči transferi v državni proračun",423080
4135,"Tekoča plačila drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",58033183
4136,"Tekoči transferi v javne agencije",111022217
414,"Tekoči transferi v tujino",13429223
4140,"Tekoči transferi mednarodnim institucijam",3112089
4141,"Tekoči transferi tujim vladam in vladnim institucijam",57002
4142,"Tekoči transferi neprofitnim organizacijam v tujini",1940590
4143,"Drugi tekoči transferi v tujino",8319542
42,"INVESTICIJSKI ODHODKI",342551093
420,"Nakup in gradnja osnovnih sredstev",342551093
4200,"Nakup zgradb in prostorov",17898356
4201,"Nakup prevoznih sredstev",10965657
4202,"Nakup opreme",96046453
4203,"Nakup drugih osnovnih sredstev",192568
4204,"Novogradnje, rekonstrukcije in adaptacije",131890966
4205,"Investicijsko vzdrževanje in obnove",47762615
4206,"Nakup zemljišč in naravnih bogastev",8311859
4207,"Nakup nematerialnega premoženja",2214977
4208,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",27267643
43,"INVESTICIJSKI TRANSFERI",370235787
431,"Investicijski transferi pravnim in fizičnim osebam, ki niso proračunski uporabniki",224500042
4310,"Investicijski transferi neprofitnim organizacijam in ustanovam",9739534
4311,"Investicijski transferi javnim podjetjem in družbam, ki so v lasti države ali občin",127002228
4313,"Investicijski transferi privatnim podjetjem",66904494
4314,"Investicijski transferi posameznikom in zasebnikom",17899837
4315,"Investicijski transferi drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",2953948
432,"Investicijski transferi proračunskim uporabnikom",145735741
4320,"Investicijski transferi občinam",81662836
4321,"Investicijski transferi javnim skladom in agencijam",17807445
4322,"Investicijski transferi v državni proračun",546970
4323,"Investicijski transferi javnim zavodom",45718490
45,"Plačila sredstev v proračun Evropske unije",305213746
450,"Plačila sredstev v proračun Evropske unije",305213746
4500,"Plačila tradicionalnih lastnih sredstev v proračun Evropske unije",28776498
4501,"Plačila sredstev v proračun EU iz naslova davka na dodano vrednost",44026039
4502,"Plačila sredstev v proračun EU iz naslova bruto nacionalnega dohodka",206745794
4503,"Plačila sredstev v proračun EU iz naslova popravka v korist Velike Britanije",25665415
"III.","PRORAčUNSKI PRESEŽEK (PRORAčUNSKI PRIMANJKLJAJ) (I. - II.)",-383661434
"III/1.","PRIMARNI PRESEŽEK (PRIMANJKLJAJ) (I. - 7102) - ( II. - 403 – 404)",-28639321
"IV.","PREJETA VRAčILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV (750+751+752)",43148569
75,"PREJETA VRAčILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV",43148569
750,"Prejeta vračila danih posojil",36889180
7500,"Prejeta vračila danih posojil od posameznikov in zasebnikov",31476
7502,"Prejeta vračila danih posojil od javnih podjetij in družb, ki so v lasti države ali občin",72692
7503,"Prejeta vračila danih posojil - od finančnih institucij",33868123
7504,"Prejeta vračila danih posojil od privatnih podjetij",2916888
752,"Kupnine iz naslova privatizacije",6259389
7520,"Sredstva kupnin iz naslova privatizacije",6259389
"V.","DANA POSOJILA IN POVEčANJE KAPITALSKIH DELEŽEV (440+441+442)",56298552
44,"DANA POSOJILA IN POVEčANJE KAPITALSKIH DELEŽEV",56298552
440,"Dana posojila",40489914
4400,"Dana posojila posameznikom in zasebnikom",16692
4404,"Dana posojila privatnim podjetjem",2916888
4409,"Plačila zapadlih poroštev",37556335
441,"Povečanje kapitalskih deležev in naložb",9549249
4410,"Povečanje kapitalskih deležev v javnih podjetjih in družbam, ki so v lasti države ali občin",86467
4412,"Povečanje kapitalskih deležev v privatnih podjetjih",70164
4414,"Povečanje kapitalskih deležev v tujino",9392618
442,"Poraba sredstev kupnin iz naslova privatizacije",6259389
4420,"Dana posojila iz sredstev kupnin",1345769
4421,"Sredstva kupnin, razporejena v javne sklade in agencije",4538057
4422,"Povečanje kapitalskih deležev države iz sredstev kupnin",375563
"VI.","PREJETA MINUS DANA POSOJILA IN SPREMEMBE KAPITALSKIH DELEŽEV (IV. - V.)",-13149983
"VII.","ZADOLŽEVANJE (500+501)",1733581092
50,"ZADOLŽEVANJE",1733581092
500,"Domače zadolževanje",1733581092
5000,"Najeti krediti pri Banki Slovenije",-0
"VIII.","ODPLAčILA DOLGA (550+551)",1682652508
55,"ODPLAčILA DOLGA",1682652508
550,"Odplačila domačega dolga",1138116070
5501,"Odplačila kreditov poslovnim bankam",168038700
5504,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",970077370
551,"Odplačila dolga v tujino",544536438
5510,"Odplačila dolga mednarodnim finančnim institucijam",26389918
5512,"Odplačila dolga tujim poslovnim bankam in finančnim institucijam",6869734
5514,"Odplačila glavnice vrednostnih papirjev, izdanih na tujih trgih",511276786
"IX.","SPREMEMBA STANJA SREDSTEV NA RAčUNU   (I.+IV.+VII.-II.-V.-VIII.)",-345882833
"X.","NETO  ZADOLŽEVANJE (VII.-VIII.)",50928585
"XI.","NETO  FINANCIRANJE (VI.+X.-IX.)",383661434
