"I.","SKUPAJ PRIHODKI (70+71+72+73+74)",1406704553,
,"TEKOČI PRIHODKI (70+71)",1388816596,
70,"DAVČNI PRIHODKI",1298339551,
700,"Davki na dohodek in dobiček",317336357,
7000,"Dohodnina",225131335,
7001,"Davek od dobička pravnih oseb",92205022,
701,"Prispevki za socialno varnost",8864465,
7010,"Prispevki zaposlenih",4835142,
7011,"Prispevki delodajalcev",3327973,
7012,"Prispevki samozaposlenih",486135,
7013,"Ostali prispevki za socialno varnost",215215,
702,"Davki na plačilno listo in delovno silo",111731587,
7020,"Davek na izplačane plače",106828658,
7021,"Posebni davek na določene prejemke",4902929,
703,"Davki na premoženje",4076723,
7033,"Davki na promet nepremičnin in na finančno premoženje",4076723,
704,"Domači davki na blago in storitve",826963040,
7040,"Splošni prometni davki, davki na dodano vrednost",556420212,
7041,"Drugi davki na blago in storitve",8034068,
7042,"Trošarine (akcize)",204759549,
7044,"Davki na posebne storitve",19951634,
7046,"Pristojbine za motorna vozila",21701747,
7047,"Drugi davki na uporabo blaga in storitev",9144407,
7048,"Davki na motorna vozila",6951424,
705,"Davki na mednarodno trgovino in transakcije",29367378,
7050,"Carine",28303109,
7051,"Druge uvozne dajatve",1064268,
71,"NEDAVČNI PRIHODKI",90477045,
710,"Udeležba na dobičku in dohodki od premoženja",31492144,
7100,"Udeležba na dobičku javnih podjetij in javnih finančnih institucij",5310000,
7101,"Prihodki od udeležbe na dobičku drugih podjetij in finančnih institucij",219850,
7102,"Prihodki od obresti",6180769,
7103,"Prihodki od premoženja",19781525,
711,"Takse in pristojbine",26383899,
7110,"Sodne takse",9750114,
7111,"Upravne takse in pristojbine",16633785,
712,"Denarne kazni",8980256,
7120,"Denarne kazni",8980256,
713,"Prihodki od prodaje blaga in storitev",8140806,
7130,"Prihodki od prodaje blaga in storitev",8140806,
714,"Drugi nedavčni prihodki",15479941,
7141,"Drugi nedavčni prihodki",15479941,
72,"KAPITALSKI PRIHODKI",3575986,
720,"Prihodki od prodaje osnovnih sredstev",3050486,
7200,"Prihodki od prodaje zgradb in prostorov",2766686,
7201,"Prihodki od prodaje prevoznih sredstev",220000,
7202,"Prihodki od prodaje opreme",8600,
7203,"Prihodki od prodaje drugih osnovnih sredstev",55200,
722,"Prihodki od prodaje zemljišč in nematerialnega",525500,
7221,"Prihodki od prodaje stavbnih zemljišč",525500,
73,"PREJETE DONACIJE",14199483,
730,"Prejete donacije iz domačih virov",10000,
7300,"Prejete donacije iz domačih virov za tekočo porabo",10000,
731,"Prejete donacije iz tujine",14189483,
7310,"Prejete donacije iz tujine za tekočo porabo",2034270,
7311,"Prejete donacije iz tujine za investicije",12155213,
74,"TRANSFERNI PRIHODKI",112488,
740,"Transferni prihodki iz drugih javnofinančnih institucij",112488,
7400,"Prejeta sredstva iz državnega proračuna",106826,
7402,"Prejeta sredstva iz skladov socialnega zavarovanja",5662,
"II.","SKUPAJ ODHODKI (40+41+42+43)",1454702355,
40,"TEKOČI ODHODKI",439815055,
400,"Plače in drugi izdatki zaposlenim",168448001,
4000,"Plače in dodatki",143683805,
4001,"Regres za letni dopust",4950808,
4002,"Povračila in nadomestila",13191435,
4003,"Sredstva za delovno uspešnost",3430405,
4004,"Sredstva za nadurno delo",1974478,
4005,"Plače za delo nerezidentov po pogodbi",23175,
4009,"Drugi izdatki zaposlenim",1193895,
401,"Prispevki delodajalcev za socialno varnost",27637074,
4010,"Prispevek za pokojninsko in invalidsko zavarovanje",17128882,
4011,"Prispevek za zdravstveno zavarovanje",10273655,
4012,"Prispevek za zaposlovanje",88287,
4013,"Prispevek za porodniško varstvo",146250,
402,"Izdatki za blago in storitve",152315558,
4020,"Pisarniški in splošni material in storitve",24118945,
4021,"Posebni material in storitve",36067416,
4022,"Energija, voda, komunalne storitve in komunikacije",11005014,
4023,"Prevozni stroški in storitve",6499601,
4024,"Izdatki za službena potovanja",4099957,
4025,"Tekoče vzdrževanje",21768221,
4026,"Najemnine in zakupnine (leasing)",12094473,
4027,"Kazni in odškodnine",3879160,
4028,"Davek na izplačane plače",8427892,
4029,"Drugi operativni odhodki",24354879,
403,"Plačila domačih obresti",41327195,
4031,"Plačila obresti od kreditov - poslovnim bankam",7001208,
4033,"Plačila obresti od kreditov - drugim domačim kreditodajalcem",660,
4034,"Plačila obresti od vrednost. papirjev izdanih na domač. trgu",34325327,
404,"Plačila obresti v tujino",35690319,
4040,"Plačila obresti od kreditov - mednarodnim finančnim institucijam",4217564,
4041,"Plačila obresti od kreditov - tujim vladam",25438,
4042,"Plačila obresti od kreditov - tujim poslovnim bankam in finančnim",2088099,
4044,"Plačila obresti od vrednostnih papirjev, izdanih na tujih trgih",29359218,
409,"Rezerve",14396908,
4090,"Splošna proračunska rezervacija",9396908,
4091,"Proračunska rezerva",5000000,
41,"TEKOČI TRANSFERI",858991347,
410,"Subvencije",66838221,
4100,"Subvencije javnim podjetjem",14023945,
4102,"Subvencije privatnim podjetjem in zasebnikom",52814276,
411,"Transferi posameznikom in gospodinjstvom",199839412,
4110,"Transferi nezaposlenim",24124594,
4111,"Družinski prejemki in starševska nadomestila",101819113,
4112,"Transferi za zagotavljanje socialne varnosti",25876648,
4113,"Transferi vojnim invalidom, veteranom in žrtvam vojnega nasilja",17885567,
4115,"Nadomestila plač",24988,
4117,"Štipendije",20991350,
4119,"Drugi transferi posameznikom",9117153,
412,"Transferi neprofitnim organizacijam in ustanovam",9102193,
4120,"Tekoči transferi neprofitnim organizacijam in ustanovam",9102193,
413,"Drugi tekoči domači transferi",580208366,
4130,"Tekoči transferi drugim ravnem države",41020667,
4131,"Tekoči transferi v sklade socialnega zavarovanja",234585876,
4132,"Tekoči transferi v druge javne sklade in agencije",2965056,
4133,"Tekoči transferi v javne zavode in druge izvajalce javnih služb",301534311,
4134,"Tekoči transferi v državni proračun",102455,
414,"Tekoči transferi v tujino",3003156,
4140,"Tekoči transferi mednarodnim institucijam",168889,
4141,"Tekoči transferi tujim vladam in vladnim institucijam",400000,
4142,"Tekoči transferi neprofitnim organizacijam v tujini",580080,
4143,"Drugi tekoči transferi v tujino",1854187,
42,"INVESTICIJSKI ODHODKI",82963040,
420,"Nakup in gradnja osnovnih sredstev",82963040,
4200,"Nakup zgradb in prostorov",2138085,
4201,"Nakup prevoznih sredstev",1527608,
4202,"Nakup opreme",15367464,
4203,"Nakup drugih osnovnih sredstev",58973,
4204,"Novogradnje, rekonstrukcije in adaptacije",41656162,
4205,"Investicijsko vzdrževanje in obnove",12076954,
4206,"Nakup zemljišč in naravnih bogastev",1846779,
4207,"Nakup nematerialnega premoženja",189690,
4208,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",8064539,
4209,"Nakup blagovnih rezerv in intervencijskih zalog",36785,
43,"INVESTICIJSKI TRANSFERI",72932914,
430,"Investicijski transferi",72932914,
4300,"Investicijski transferi drugim ravnem države",16445887,
