"I.","SKUPAJ PRIHODKI (70+71+72+73+74)",1394872710
,"TEKOČI PRIHODKI (70+71)",1373902010
70,"DAVČNI PRIHODKI",1269199910
700,"Davki na dohodek in dobiček",318542180
7000,"Dohodnina",232852830
7001,"Davek od dobička pravnih oseb",85689350
701,"Prispevki za socialno varnost",8929870
7010,"Prispevki zaposlenih",4906870
7011,"Prispevki delodajalcev",3310890
7012,"Prispevki samozaposlenih",515000
7013,"Ostali prispevki za socialno varnost",197110
702,"Davki na plačilno listo in delovno silo",107890840
7020,"Davek na izplačane plače",102711440
7021,"Posebni davek na določene prejemke",5179400
703,"Davki na premoženje",1959110
7033,"Davki na promet nepremičnin in na finančno premoženje",1959110
704,"Domači davki na blago in storitve",799326820
7040,"Splošni prometni davki, davki na dodano vrednost",533224820
7041,"Drugi davki na blago in storitve",13255000
7042,"Trošarine (akcize)",194090000
7044,"Davki na posebne storitve",21677800
7046,"Letna povračila za uporabo cest",21195000
7047,"Drugi davki na uporabo blaga in storitev",9078700
7048,"Davki na motorna vozila",6805500
705,"Davki na mednarodno trgovino in transakcije",32316960
7050,"Carine",30730020
7051,"Druge uvozne dajatve",1586940
706,"Drugi davki",234130
7060,"Drugi davki",234130
71,"NEDAVČNI PRIHODKI",104702100
710,"Udeležba na dobičku in dohodki od premoženja",42367500
7100,"Prihodki od udeležbe na dobičku in dividend javnih podjetij, javnih skladov in javnih finančnih institucij",21750000
7101,"Prihodki od udeležbe na dobičku in dividend drugih podjetij in finančnih institucij",1300000
7102,"Prihodki od obresti",9677500
7103,"Prihodki od premoženja",9640000
711,"Takse in pristojbine",25165000
7110,"Sodne takse",7918000
7111,"Upravne takse in pristojbine",17247000
712,"Denarne kazni",8455000
7120,"Denarne kazni",8455000
713,"Prihodki od prodaje blaga in storitev",6785000
7130,"Prihodki od prodaje blaga in storitev",6785000
714,"Drugi nedavčni prihodki",21929600
7141,"Drugi nedavčni prihodki",21929600
72,"KAPITALSKI PRIHODKI",3576000
720,"Prihodki od prodaje osnovnih sredstev",3050500
7200,"Prihodki od prodaje zgradb in prostorov",2766700
7201,"Prihodki od prodaje prevoznih sredstev",220000
7202,"Prihodki od prodaje opreme",8600
7203,"Prihodki od prodaje drugih osnovnih sredstev",55200
722,"Prihodki od prodaje zemljišč in neopredmetenih dolgoročnih sredstev",525500
7221,"Prihodki od prodaje stavbnih zemljišč",525500
73,"PREJETE DONACIJE",17290000
730,"Prejete donacije iz domačih virov",10000
7300,"Prejete donacije iz domačih virov za tekočo porabo",10000
7301,"Prejete donacije iz domačih virov za investicije",0
731,"Prejete donacije iz tujine",17280000
7310,"Prejete donacije iz tujine za tekočo porabo",3980000
7311,"Prejete donacije iz tujine za investicije",13300000
74,"TRANSFERNI PRIHODKI",104700
740,"Transferni prihodki iz drugih javnofinančnih institucij",104700
7400,"Prejeta sredstva iz državnega proračuna",98400
7402,"Prejeta sredstva iz skladov socialnega zavarovanja",6300
