"I.","SKUPAJ PRIHODKI (70+71+72+73+74)",1366629225
,"TEKOČI PRIHODKI (70+71)",1349253965
70,"DAVČNI PRIHODKI",1256558024
700,"Davki na dohodek in dobiček",324446429
7000,"Dohodnina",225347122
7001,"Davek od dobička pravnih oseb",99099307
701,"Prispevki za socialno varnost",8785401
7010,"Prispevki zaposlenih",4843740
7011,"Prispevki delodajalcev",3295182
7012,"Prispevki samozaposlenih",456907
7013,"Ostali prispevki za socialno varnost",189572
702,"Davki na plačilno listo in delovno silo",103951804
7020,"Davek na izplačane plače",98779133
7021,"Posebni davek na določene prejemke",5172670
703,"Davki na premoženje",394000
7033,"Davki na promet nepremičnin in na finančno premoženje",394000
704,"Domači davki na blago in storitve",786333096
7040,"Splošni prometni davki, davki na dodano vrednost",524254148
7041,"Drugi davki na blago in storitve",13256455
7042,"Trošarine (akcize)",194090000
7044,"Davki na posebne storitve",19286848
7046,"Letna povračila za uporabo cest",21195000
7047,"Drugi davki na uporabo blaga in storitev",7445146
7048,"Davki na motorna vozila",6805500
705,"Davki na mednarodno trgovino in transakcije",32302294
7050,"Carine",30698080
7051,"Druge uvozne dajatve",1604214
706,"Drugi davki",345000
7060,"Drugi davki",345000
71,"NEDAVČNI PRIHODKI",92695941
710,"Udeležba na dobičku in dohodki od premoženja",38096786
7100,"Prihodki od udeležbe na dobičku in dividend javnih podjetij, javnih skladov in javnih finančnih institucij",25285158
7101,"Prihodki od udeležbe na dobičku in dividend drugih podjetij in finančnih institucij",14842
7102,"Prihodki od obresti",6677500
7103,"Prihodki od premoženja",6119286
711,"Takse in pristojbine",22800503
7110,"Sodne takse",7120453
7111,"Upravne takse in pristojbine",15680050
712,"Denarne kazni",7930751
7120,"Denarne kazni",7930751
713,"Prihodki od prodaje blaga in storitev",4550137
7130,"Prihodki od prodaje blaga in storitev",4550137
714,"Drugi nedavčni prihodki",19317765
7141,"Drugi nedavčni prihodki",19317765
72,"KAPITALSKI PRIHODKI",1975128
720,"Prihodki od prodaje osnovnih sredstev",739956
7200,"Prihodki od prodaje zgradb in prostorov",658274
7201,"Prihodki od prodaje prevoznih sredstev",73915
7202,"Prihodki od prodaje opreme",6036
7203,"Prihodki od prodaje drugih osnovnih sredstev",1731
722,"Prihodki od prodaje zemljišč in neopredmetenih dolgoročnih sredstev",1235172
7221,"Prihodki od prodaje stavbnih zemljišč",1235172
73,"PREJETE DONACIJE",15300000
730,"Prejete donacije iz domačih virov",10000
7300,"Prejete donacije iz domačih virov za tekočo porabo",10000
7301,"Prejete donacije iz domačih virov za investicije",0
731,"Prejete donacije iz tujine",15290000
7310,"Prejete donacije iz tujine za tekočo porabo",8791996
7311,"Prejete donacije iz tujine za investicije",6498004
74,"TRANSFERNI PRIHODKI",100132
740,"Transferni prihodki iz drugih javnofinančnih institucij",100132
7400,"Prejeta sredstva iz državnega proračuna",93804
7402,"Prejeta sredstva iz skladov socialnega zavarovanja",6328
"II.","SKUPAJ ODHODKI (40+41+42+43)",1437144754
40,"TEKOČI ODHODKI",431558041
400,"Plače in drugi izdatki zaposlenim",171620281
4000,"Plače in dodatki",146461915
4001,"Regres za letni dopust",4994717
4002,"Povračila in nadomestila",13612410
4003,"Sredstva za delovno uspešnost",3486356
4004,"Sredstva za nadurno delo",1853668
4005,"Plače za delo nerezidentov po pogodbi",22064
4009,"Drugi izdatki zaposlenim",1189151
401,"Prispevki delodajalcev za socialno varnost",27563134
4010,"Prispevek za pokojninsko in invalidsko zavarovanje",17043010
4011,"Prispevek za zdravstveno zavarovanje",10283435
4012,"Prispevek za zaposlovanje",88750
4013,"Prispevek za starševsko varstvo",147939
402,"Izdatki za blago in storitve",144418714
4020,"Pisarniški in splošni material in storitve",20053208
4021,"Posebni material in storitve",31063287
4022,"Energija, voda, komunalne storitve in komunikacije",11393565
4023,"Prevozni stroški in storitve",7048661
4024,"Izdatki za službena potovanja",3891791
4025,"Tekoče vzdrževanje",23898348
4026,"Najemnine in zakupnine (leasing)",12112498
4027,"Kazni in odškodnine",3232425
4028,"Davek na izplačane plače",8436873
4029,"Drugi operativni odhodki",23288059
403,"Plačila domačih obresti",50160573
4031,"Plačila obresti od kreditov - poslovnim bankam",6889820
4032,"Plačila obresti od kreditov - drugim finančnim institucijam",183101
4033,"Plačila obresti od kreditov - drugim domačim kreditodajalcem",15660
4034,"Plačila obresti od vrednost. papirjev izdanih na domač. trgu",43071992
404,"Plačila tujih obresti",32892405
4040,"Plačila obresti od kreditov - mednarodnim finančnim",4306044
4041,"Plačila obresti od kreditov - tujim vladam",25361
4042,"Plačila obresti od kreditov - tujim poslovnim bankam in finančnim institucijam",2081799
4044,"Plačila obresti od vrednostnih papirjev, izdanih na tujih trgih",26479201
409,"Rezerve",4902934
4090,"Splošna proračunska rezervacija",2802934
4091,"Proračunska rezerva",2100000
4092,"Druge rezerve",0
41,"TEKOČI TRANSFERI",856514782
410,"Subvencije",66854167
4100,"Subvencije javnim podjetjem",14078409
4102,"Subvencije privatnim podjetjem in zasebnikom",52775759
411,"Transferi posameznikom in gospodinjstvom",201268064
4110,"Transferi nezaposlenim",23945547
4111,"Družinski prejemki in starševska nadomestila",97993762
4112,"Transferi za zagotavljanje socialne varnosti",29320000
4113,"Transferi vojnim invalidom, veteranom in žrtvam vojnega nasilja",18161799
4115,"Nadomestila plač",0
4117,"Štipendije",20847201
4119,"Drugi transferi posameznikom",10999756
412,"Transferi neprofitnim organizacijam in ustanovam",9695594
4120,"Tekoči transferi neprofitnim organizacijam in ustanovam",9695594
413,"Drugi tekoči domači transferi",576041092
4130,"Tekoči transferi drugim ravnem države",38416334
4131,"Tekoči transferi v sklade socialnega zavarovanja",227879671
4132,"Tekoči transferi v druge javne sklade in agencije",5104953
4133,"Tekoči transferi v javne zavode in druge izvajalce javnih služb",304544908
4134,"Tekoči transferi v državni proračun",95226
414,"Tekoči transferi v tujino",2655864
4140,"Tekoči transferi mednarodnim institucijam",161658
4141,"Tekoči transferi tujim vladam in vladnim institucijam",485135
4142,"Tekoči transferi neprofitnim organizacijam v tujini",271323
4143,"Drugi tekoči transferi v tujino",1737747
42,"INVESTICIJSKI ODHODKI",75863740
420,"Nakup in gradnja osnovnih sredstev",75863740
4200,"Nakup zgradb in prostorov",1817093
4201,"Nakup prevoznih sredstev",1488093
4202,"Nakup opreme",17015056
4203,"Nakup drugih osnovnih sredstev",43920
4204,"Novogradnje, rekonstrukcije in adaptacije",34596332
4205,"Investicijsko vzdrževanje in obnove",10750240
4206,"Nakup zemljišč in naravnih bogastev",1948024
4207,"Nakup nematerialnega premoženja",336876
4208,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",7849408
4209,"Nakup blagovnih rezerv in intervencijskih zalog",18698
43,"INVESTICIJSKI TRANSFERI",73208192
430,"Investicijski transferi",73208192
4300,"Investicijski transferi drugim ravnem države",15879616
4301,"Investicijski transferi javnim skladom in agencijam",586203
4302,"Investicijski transferi neprofitnim organizacijam",2619200
4303,"Investicijski transferi javnim podjetjem",35664933
4305,"Investicijski transferi privatnim podjetjem in zasebnikom",7237523
4306,"Investicijski transferi posameznikom",4508849
4307,"Investicijski transfer javnim zavodom in drugim izvajalcem javnih služb",6685096
4308,"Investicijski transferi v tujino",26772
"III.","III. PRORAČUNSKI PRESEŽEK (PRORAČUNSKI PRIMANJKLJAJ) (I. - II.)",-70515529
"III/1.","PRIMARNI PRESEŽEK (PRIMANJKLJAJ) (I. - 7102) - ( II. - 403 – 404)",5859949
"III/2.","TEKOČI PRESEŽEK   (PRIMANJKLJAJ) (70 + 71) - (40 + 41)",61181142
"IV.","IV. PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV (750+751+752)",48740895
75,"PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV",48740895
750,"Prejeta vračila danih posojil",2990895
7500,"Prejeta vračila danih posojil - od posameznikov",0
7502,"Prejeta vračila danih posojil - od javnih podjetij",178133
7503,"Prejeta vračila danih posojil - od finančnih institucij",2027564
7504,"Prejeta vračila danih posojil - od privatnih podjetij in",785198
751,"Prodaja kapitalskih deležev",45740000
7510,"Sredstva, pridobljena s prodajo kapitalskih deležev v javnih podjetjih",45000000
7511,"Sredstva, pridobljena s prodajo kapitalskih deležev v finančnih institucijah",0
7512,"Sredstva, pridobljena s prodajo kapitalskih deležev v privatnih podjetjih",740000
752,"Kupnine iz naslova privatizacije",10000
7520,"Sredstva kupnin iz naslova privatizacije",10000
"V.","V. DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV (440+441+442)",52039525
44,"DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV",52039525
440,"Dana posojila",10117825
4400,"Dana posojila posameznikom",0
4401,"Dana posojila javnim skladom",0
4404,"Dana posojila privatnim podjetjem in zasebnikom",10117825
441,"Povečanje kapitalskih deležev in naložb",41321700
4410,"Povečanje kapitalskih deležev v javnih podjetjih",30601700
4411,"Povečanje kapitalskih deležev v finančnih institucijah",9000000
4412,"Povečanje kapitalskih deležev v privatnih podjetjih",1500000
4414,"Povečanje kapitalskih deležev v tujino",220000
4415,"Povečanje drugih finančnih naložb",0
442,"Poraba sredstev kupnin iz naslova privatizacije",10000
4420,"Dana posojila iz sredstev kupnin",2400
4421,"Sredstva kupnin, razporejena v javne sklade in agencije",7000
4422,"Povečanje kapitalskih deležev države iz sredstev kupnin",600
443,"Povečanje namenskega premoženja v javnih skladih in drugih pravnih osebah javnega prava, ki imajo premoženje v svoji lasti",590000
4430,"Povečanje  namenskega premoženja v javnih skladih",590000
"VI.","PREJETA MINUS DANA POSOJILA IN SPREMEMBE KAPITALSKIH DELEŽEV (IV. - V.)",-3298630
"VII.","ZADOLŽEVANJE (500+501)",230519213
50,"ZADOLŽEVANJE",230519213
500,"Domače zadolževanje",230519213
5000,"Najeti krediti pri Banki Slovenije",-0
5001,"Najeti krediti pri poslovnih bankah",-0
5004,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",-0
501,"Zadolževanje v tujini",0
5010,"Najeti krediti pri mednarodnih finančnih institucijah",-0
5011,"Najeti krediti pri tujih vladah",-0
5012,"Najeti krediti pri tujih poslovnih bankah in finančnih",-0
5014,"Sredstva, pridobljena z izdajo vrednostnih papirjev",-0
"VIII.","ODPLAČILA DOLGA (550+551)",287354124
55,"ODPLAČILA DOLGA",287354124
550,"Odplačila domačega dolga",266454779
5501,"Odplačila kreditov poslovnim bankam",23419358
5504,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem",243035421
551,"Odplačila dolga v tujino",20899345
