"I.","SKUPAJ PRIHODKI (70+71+72+73+74+78)",1756712524
,"TEKOČI PRIHODKI (70+71)",1638412914
70,"DAVČNI PRIHODKI",1535238314
700,"Davki na dohodek in dobiček",432046465
7000,"Dohodnina",267384458
7001,"Davek od dohodkov pravnih oseb",164662007
701,"Prispevki za socialno varnost",10755740
7010,"Prispevki zaposlenih",6114299
7011,"Prispevki delodajalcev",3922971
7012,"Prispevki samozaposlenih",525971
7013,"Ostali prispevki za socialno varnost",192499
702,"Davki na plačilno listo in delovno silo",106083402
7020,"Davek na izplačane plače",101278882
7021,"Posebni davek na določene prejemke",4804520
704,"Domači davki na blago in storitve",971459207
7040,"Davek na dodano vrednost",645471750
7041,"Drugi davki na blago in storitve",10000000
7042,"Trošarine (akcize)",242896577
7044,"Davki na posebne storitve",27962719
7046,"Letna povračila za uporabo cest",23409530
7047,"Drugi davki na uporabo blaga in storitev",9349096
7048,"Davki na motorna vozila",12369535
705,"Davki na mednarodno trgovino in transakcije",9152400
7050,"Carine",9068240
7051,"Druge uvozne dajatve",84160
706,"Drugi davki",5741099
7060,"Drugi davki",5741099
71,"NEDAVČNI PRIHODKI",103174600
710,"Udeležba na dobičku in dohodki od premoženja",46753236
7100,"Prihodki od udeležbe na dobičku in dividend ter presežkov prihodkov nad odhodki",26190000
7102,"Prihodki od obresti",3244691
7103,"Prihodki od premoženja",17318545
711,"Takse in pristojbine",23261161
7110,"Sodne takse",9857706
7111,"Upravne takse in pristojbine",13403455
712,"Denarne kazni",7415257
7120,"Denarne kazni",7415257
713,"Prihodki od prodaje blaga in storitev",2775840
7130,"Prihodki od prodaje blaga in storitev",2775840
714,"Drugi nedavčni prihodki",22969106
7141,"Drugi nedavčni prihodki",22969106
72,"KAPITALSKI PRIHODKI",8081936
720,"Prihodki od prodaje osnovnih sredstev",8081936
7200,"Prihodki od prodaje zgradb in prostorov",8081936
73,"PREJETE DONACIJE",2374787
731,"Prejete donacije iz tujine",2228948
