"I.","SKUPAJ PRIHODKI (70+71+72+73+74+78)",8782665384
,"TEKOČI PRIHODKI (70+71)",7881748662
70,"DAVČNI PRIHODKI",7491316356
700,"Davki na dohodek in dobiček",2172818357
7000,"Dohodnina",1114781920
7001,"Davek od dohodkov pravnih oseb",1058036437
701,"Prispevki za socialno varnost",54958166
7010,"Prispevki zaposlenih",30819951
7011,"Prispevki delodajalcev",20506679
7012,"Prispevki samozaposlenih",2653011
7013,"Ostali prispevki za socialno varnost",978525
702,"Davki na plačilno listo in delovno silo",29181098
7021,"Posebni davek na določene prejemke",29181098
704,"Domači davki na blago in storitve",5113139755
7040,"Davek na dodano vrednost",3250948486
7041,"Drugi davki na blago in storitve",30351454
7042,"Trošarine (akcize)",1499249287
7044,"Davki na posebne storitve",132099096
7046,"Letna dajatev za uporabo vozil v cestnem prometu",106409952
7047,"Drugi davki na uporabo blaga in storitev",43520546
7048,"Davki od prometa motornih vozil",50560934
705,"Davki na mednarodno trgovino in transakcije",119394710
7050,"Carine",117817359
7051,"Druge uvozne dajatve",1577351
706,"Drugi davki",1824270
7060,"Drugi davki",1824270
71,"NEDAVČNI PRIHODKI",390432306
710,"Udeležba na dobičku in dohodki od premoženja",171991807
7100,"Prihodki od udeležbe na dobičku in dividend ter presežkov prihodkov nad odhodki",87633000
7102,"Prihodki od obresti",15000000
7103,"Prihodki od premoženja",69358807
711,"Takse in pristojbine",73099789
7110,"Sodne takse",36437830
7111,"Upravne takse in pristojbine",36661959
712,"Globe in druge denarne kazni",66157132
7120,"Globe in druge denarne kazni",66157132
713,"Prihodki od prodaje blaga in storitev",10129289
7130,"Prihodki od prodaje blaga in storitev",10129289
714,"Drugi nedavčni prihodki",69054289
7141,"Drugi nedavčni prihodki",69054289
72,"KAPITALSKI PRIHODKI",20521372
720,"Prihodki od prodaje osnovnih sredstev",19216019
7200,"Prihodki od prodaje zgradb in prostorov",17883240
7201,"Prihodki od prodaje prevoznih sredstev",1088636
7202,"Prihodki od prodaje opreme",213038
7203,"Prihodki od prodaje drugih osnovnih sredstev",31105
722,"Prihodki od prodaje zemljišč in neopredmetenih sredstev",1305353
7220,"Prihodki od prodaje kmetijskih zemljišč in gozdov",11200
7221,"Prihodki od prodaje stavbnih zemljišč",1294153
73,"PREJETE DONACIJE",6004434
730,"Prejete donacije iz domačih virov",171194
7300,"Prejete donacije in darila od domačih pravnih oseb",171194
731,"Prejete donacije iz tujine",5833240
7310,"Prejete donacije in darila od tujih nevladnih organizacij in fundacij",2284387
7311,"Prejete donacije in darila od tujih vlad in vladnih institucij",3504087
7312,"Prejete donacije in darila od tujih pravnih oseb",44766
74,"TRANSFERNI PRIHODKI",735368
740,"Transferni prihodki iz drugih javnofinančnih institucij",735368
7400,"Prejeta sredstva iz državnega proračuna",718424
7402,"Prejeta sredstva iz skladov socialnega zavarovanja",16944
78,"PREJETA SREDSTVA IZ EVROPSKE UNIJE",873655548
780,"Predpristopna sredstva Evropske unije",14732900
