," A. Bilanca prihodkov in odhodkov","I SPLO&#352;NI DEL"
,,"v EUR"
,"I. SKUPAJ PRIHODKI (70+71+72+73+74+78)","8611161057"
,"TEKOČI PRIHODKI (70+71)","7141346975"
"70","DAVČNI PRIHODKI","6630673573"
"700","Davki na dohodek in dobiček","1268518753"
"7000","Dohodnina","867364659"
"7001","Davek od dohodkov pravnih oseb","394525000"
"7002","Drugi davki na dohodek in dobiček","6629094"
"701","Prispevki za socialno varnost","52990881"
"7010","Prispevki zaposlenih","28853795"
"7011","Prispevki delodajalcev","19639377"
"7012","Prispevki samozaposlenih","2881858"
"7013","Ostali prispevki za socialno varnost","1615851"
"702","Davki na plačilno listo in delovno silo","27317316"
"7021","Posebni davek na določene prejemke","27317316"
"703","Davki na premoženje","35863320"
"7033","Davki na promet nepremičnin in na finančno premoženje","35863320"
"704","Domači davki na blago in storitve","5111455552"
"7040","Davek na dodano vrednost","2943952059"
"7041","Drugi davki na blago in storitve","108018606"
"7042","Trošarine (akcize)","1655866340"
"7044","Davki na posebne storitve","159933564"
"7046","Letna dajatev za uporabo vozil v cestnem prometu","128912402"
"7047","Drugi davki na uporabo blaga in storitev","71447078"
"7048","Davki od prometa motornih vozil","43325502"
"705","Davki na mednarodno trgovino in transakcije","84527752"
"7050","Carine","84527752"
"706","Drugi davki","50000000"
"7060","Drugi davki","50000000"
"71","NEDAVČNI PRIHODKI","510673401"
"710","Udeležba na dobičku in dohodki od premoženja","197416163"
"7100","Prihodki od udeležbe na dobičku in dividend ter presežkov prihodkov nad odhodki","90278178"
"7102","Prihodki od obresti","26400000"
"7103","Prihodki od premoženja","80737985"
"711","Takse in pristojbine","94001547"
"7110","Sodne takse","57685234"
"7111","Upravne takse in pristojbine","36316313"
"712","Globe in druge denarne kazni","69700939"
"7120","Globe in druge denarne kazni","69700939"
"713","Prihodki od prodaje blaga in storitev","9578519"
"7130","Prihodki od prodaje blaga in storitev","9578519"
"714","Drugi nedavčni prihodki","139976233"
"7141","Drugi nedavčni prihodki","139976233"
"72","KAPITALSKI PRIHODKI","17281527"
"720","Prihodki od prodaje osnovnih sredstev","16668103"
"7200","Prihodki od prodaje zgradb in prostorov","15989668"
"7201","Prihodki od prodaje prevoznih sredstev","369308"
"7202","Prihodki od prodaje opreme","297179"
"7203","Prihodki od prodaje drugih osnovnih sredstev","11948"
"721","Prihodki od prodaje zalog","2266"
"7211","Prihodki od prodaje drugih zalog","2266"
"722","Prihodki od prodaje zemljišč in neopredmetenih sredstev","611158"
"7220","Prihodki od prodaje kmetijskih zemljišč in gozdov","334160"
"7221","Prihodki od prodaje stavbnih zemljišč","276998"
"73","PREJETE DONACIJE","7933498"
"730","Prejete donacije iz domačih virov","74416"
"7300","Prejete donacije in darila od domačih pravnih oseb","55226"
"7301","Prejete donacije in darila od domačih fizičnih oseb","19190"
"731","Prejete donacije iz tujine","7859082"
"7310","Prejete donacije in darila od tujih nevladnih organizacij in fundacij","1824821"
"7311","Prejete donacije in darila od tujih vlad in vladnih institucij","6034260"
"74","TRANSFERNI PRIHODKI","1122920"
"740","Transferni prihodki iz drugih javnofinančnih institucij","1122920"
"7400","Prejeta sredstva iz državnega proračuna","1099668"
"7402","Prejeta sredstva iz skladov socialnega zavarovanja","23253"
