INDEKS INFLACIJE
Od januarja 1998 je podlaga za izraèun inflacije indeks cen življenjskih potrebšèin, pred tem pa indeks cen na drobno.
Pomen indeksov:

	meseèni indeks kaže spremembe cen v tekoèem mesecu glede na pretekli 
	mesec,
	letni indeks kaže spremembe cen v tekoèem mesecu glede na isti mesec 
	preteklega leta,
	povpreèni letni indeks kaže spremembe cen od zaèetka leta do tekoèega 
	meseca glede na enako obdobje v preteklem letu.


Zajeto obdobje: januar 1991 - junij 2011

	Meseèni indeks	Letni indeks	Povpreèni letni<br>indeks	
junij 2011	99,5	101,3	101,7	
maj 2011	100,8	102,2	101,8	
april 2011	100,8	101,7	101,7	
marec 2011	101,6	101,9	101,7	
februar 2011	100,0	101,4	101,6	
januar 2011	99,2	101,8	101,8	
december 2010	100,1	101,9	101,8	
november 2010	100,3	101,4	101,8	
oktober 2010	100,1	101,9	101,9	
september 2010	99,5	102,0	101,9	
avgust 2010	100,3	102,3	101,9	
julij 2010	99,3	102,1	101,8	
junij 2010	100,3	101,9	101,8	
maj 2010	100,4	102,1	101,7	
april 2010	101,0	102,3	101,6	
marec 2010	101,1	101,4	101,4	
februar 2010	100,4	101,3	101,4	
januar 2010	99,2	101,5	101,5	
december 2009	99,5	101,8	100,9	
november 2009	100,9	101,6	100,8	
oktober 2009	100,1	100,0	100,7	
september 2009	99,8	99,9	100,8	
avgust 2009	100,0	100,0	100,9	
julij 2009	99,1	99,4	101,0	
junij 2009	100,5	100,3	101,3	
maj 2009	100,6	100,7	101,5	
april 2009	100,1	101,1	101,7	
marec 2009	101,0	101,8	101,8	
februar 2009	100,5	102,1	101,9	
januar 2009	99,6	101,6	101,6	
december 2008	99,4	102,1	105,7	
november 2008	99,3	103,1	106,0	
oktober 2008	100,0	104,9	106,3	
september 2008	100,0	105,5	106,4	
avgust 2008	99,4	106,0	106,6	
julij 2008	100,0	106,9	106,6	
junij 2008	100,9	107,0	106,6	
maj 2008	101,1	106,4	106,5	
april 2008	100,8	106,5	106,6	
marec 2008	101,3	106,9	106,6	
februar 2008	100,0	106,5	106,5	
januar 2008	100,1	106,4	106,4	
december 2007	100,4	105,6	103,6	
november 2007	100,9	105,7	103,4	
oktober 2007	100,7	105,1	103,2	
september 2007	100,4	103,5	103,0	
avgust 2007	100,3	103,5	102,9	
julij 2007	100,0	103,8	102,8	
junij 2007	100,4	103,6	102,7	
maj 2007	101,2	102,9	102,5	
april 2007	101,1	102,6	102,4	
marec 2007	101,0	102,3	102,3	
februar 2007	99,8	102,1	102,4	
januar 2007	99,3	102,7	102,7	
december 2006	100,4	102,8	102,5	
november 2006	100,3	102,3	102,4	
oktober 2006	99,2	101,5	102,4	
september 2006	100,4	102,5	102,5	
avgust 2006	100,6	103,2	102,5	
julij 2006	99,8	101,9	102,4	
junij 2006	99,7	102,9	102,5	
maj 2006	100,9	103,2	102,4	
april 2006	100,8	102,7	102,2	
marec 2006	100,8	101,9	102,1	
februar 2006	100,4	102,2	102,2	
januar 2006	99,5	102,4	102,4	
december 2005	100,0	102,3	102,5	
november 2005	99,5	102,1	102,5	
oktober 2005	100,2	103,1	102,5	
september 2005	101,0	103,2	102,5	
avgust 2005	99,4	102,1	102,4	
julij 2005	100,7	102,3	102,4	
junij 2005	100,1	101,9	102,5	
maj 2005	100,3	102,2	102,6	
april 2005	100,0	102,7	102,7	
marec 2005	101,1	103,1	102,6	
februar 2005	100,6	102,6	102,4	
januar 2005	99,4	102,2	102,2	
december 2004	99,7	103,2	103,6	
november 2004	100,6	103,6	103,6	
oktober 2004	100,3	103,3	103,6	
september 2004	99,9	103,3	103,7	
avgust 2004	99,5	103,7	103,7	
julij 2004	100,4	103,8	103,7	
junij 2004	100,3	103,9	103,7	
maj 2004	100,9	103,8	103,9	
april 2004	100,5	103,5	103,6	
marec 2004	100,6	103,5	103,7	
februar 2004	100,1	103,6	103,8	
januar 2004	100,4	104,0	104,0	
december 2003	100,1	104,6	105,6	
november 2003	100,3	105,1	105,7	
oktober 2003	100,3	104,8	105,7	
september 2003	100,3	105,0	105,8	
avgust 2003	99,6	105,5	105,9	
julij 2003	100,5	106,0	106,0	
junij 2003	100,3	106,0	106,0	
maj 2003	100,5	105,5	106,0	
april 2003	100,5	105,3	106,1	
marec 2003	100,7	106,3	106,4	
februar 2003	100,5	106,2	106,4	
januar 2003	101,0	106,6	106,6	
december 2002	100,6	107,2	107,5	
november 2002	100,0	106,7	107,5	
oktober 2002	100,5	107,2	107,6	
september 2002	100,8	107,2	107,6	
avgust 2002	100,1	107,3	107,7	
julij 2002	100,5	107,2	107,7	
junij 2002	99,8	106,8	107,8	
maj 2002	100,3	107,5	108,0	
april 2002	101,4	108,4	108,1	
marec 2002	100,7	107,6	108,0	
februar 2002	100,9	108,1	108,2	
januar 2002	101,6	108,4	108,4	
december 2001	100,1	107,0	108,4	
november 2001	100,4	107,0	108,6	
oktober 2001	100,5	107,8	108,7	
september 2001	100,9	107,9	108,8	
avgust 2001	100,0	108,5	108,9	
julij 2001	100,2	108,8	109,0	
junij 2001	100,4	109,5	109,0	
maj 2001	101,1	109,7	109,0	
april 2001	100,7	109,0	108,8	
marec 2001	101,1	108,9	108,7	
februar 2001	101,1	108,7	108,6	
januar 2001	100,4	108,4	108,4	
december 2000	100,1	108,9	108,9	
november 2000	101,1	109,7	108,9	
oktober 2000	100,6	109,0	108,8	
september 2000	101,4	108,9	108,8	
avgust 2000	100,3	108,2	108,7	
julij 2000	100,9	108,8	108,8	
junij 2000	100,6	109,7	108,8	
maj 2000	100,5	109,1	108,6	
april 2000	100,6	109,2	108,5	
marec 2000	100,9	109,0	108,3	
februar 2000	100,9	108,3	108,0	
januar 2000	100,8	107,7	107,7	
december 1999	100,8	108,0	106,1	
november 1999	100,5	107,8	106,0	
oktober 1999	100,5	107,7	105,8	
september 1999	100,8	107,5	105,6	
avgust 1999	100,9	106,8	105,3	
julij 1999	101,7	106,0	105,1	
junij 1999	100,0	104,3	105,0	
maj 1999	100,6	104,3	105,1	
april 1999	100,4	104,6	105,3	
marec 1999	100,3	105,1	105,6	
februar 1999	100,4	105,6	105,8	
januar 1999	101,0	106,1	106,1	
december 1998	100,7	106,5	107,9	
november 1998	100,4	106,4	108,0	
oktober 1998	100,3	106,9	108,2	
september 1998	100,1	107,1	108,4	
avgust 1998	100,1	107,6	108,5	
julij 1998	100,0	107,7	108,7	
junij 1998	100,0	108,3	108,9	
maj 1998	100,9	108,3	109,0	
april 1998	100,9	109,1	109,2	
marec 1998	100,8	109,4	109,2	
februar 1998	100,9	109,1	109,0	
januar 1998	101,4	108,9	108,9	
december 1997	100,3	109,4	109,1	
november 1997	100,6	109,9	109,0	
oktober 1997	100,5	109,7	108,9	
september 1997	100,9	110,1	108,9	
avgust 1997	100,3	109,6	108,7	
julij 1997	101,0	109,4	108,6	
junij 1997	100,4	108,8	108,4	
maj 1997	101,3	108,9	108,3	
april 1997	102,0	108,2	108,2	
marec 1997	100,3	107,4	108,2	
februar 1997	100,4	108,5	108,6	
januar 1997	101,1	109,0	109,0	
december 1996	100,7	108,8	109,7	
november 1996	100,4	108,6	109,8	
oktober 1996	100,8	109,7	109,9	
september 1996	100,5	109,4	109,9	
avgust 1996	100,1	110,3	110,0	
julij 1996	100,5	110,7	109,9	
junij 1996	100,5	110,5	109,8	
maj 1996	100,7	110,9	109,6	
april 1996	101,2	110,7	109,3	
marec 1996	101,3	109,3	108,8	
februar 1996	100,9	108,5	108,5	
januar 1996	101,0	108,5	108,5	
december 1995	100,6	108,6	112,6	
november 1995	101,3	109,1	113,0	
oktober 1995	100,6	109,3	113,4	
september 1995	101,3	110,8	113,9	
avgust 1995	100,5	111,0	114,3	
julij 1995	100,3	111,7	114,8	
junij 1995	100,8	112,6	115,4	
maj 1995	100,5	113,5	115,9	
april 1995	99,9	114,1	116,5	
marec 1995	100,5	116,6	117,3	
februar 1995	100,9	117,3	117,6	
januar 1995	101,1	117,8	117,8	
december 1994	101,1	118,3	119,8	
november 1994	101,5	118,8	119,9	
oktober 1994	102,0	118,9	120,0	
september 1994	101,5	119,9	120,2	
avgust 1994	101,1	120,1	120,2	
julij 1994	101,1	120,8	120,3	
junij 1994	101,6	120,5	120,2	
maj 1994	101,0	120,4	120,1	
april 1994	102,1	120,8	120,1	
marec 1994	101,1	119,5	119,8	
februar 1994	101,3	119,9	120,0	
januar 1994	101,5	120,3	120,3	
december 1993	101,5	122,9	132,3	
november 1993	101,6	122,4	132,9	
oktober 1993	102,9	124,2	134,1	
september 1993	101,7	124,0	135,5	
avgust 1993	101,7	125,2	137,2	
julij 1993	100,8	124,6	139,3	
junij 1993	101,5	126,2	142,2	
maj 1993	101,4	130,2	145,9	
april 1993	101,0	136,6	150,6	
marec 1993	101,4	142,5	156,0	
februar 1993	101,6	157,2	164,1	
januar 1993	103,7	171,7	171,7	
