I.,SKUPAJ PRIHODKI (70+71+72+73+74+78),7766535000
,TEKOČI PRIHODKI (70+71),7350501000
70,DAVČNI PRIHODKI,6972345000
700,Davki na dohodek in dobiček,2007536000
7000,Dohodnina,1214052000
7001,Davek od dohodkov pravnih oseb,793484000
701,Prispevki za socialno varnost,47576000
7010,Prispevki zaposlenih,27045000
7011,Prispevki delodajalcev,17352000
7012,Prispevki samozaposlenih,2327000
7013,Ostali prispevki za socialno varnost,851000
702,Davki na plačilno listo in delovno silo,361766000
7020,Davek na izplačane plače,341030000
7021,Posebni davek na določene prejemke,20735000
704,Domači davki na blago in storitve,4490223000
7040,Davek na dodano vrednost,2979194000
7041,Drugi davki na blago in storitve,43585000
7042,Trošarine (akcize),1094413000
7044,Davki na posebne storitve,124738000
7046,Letna povračila za uporabo cest,102031000
7047,Drugi davki na uporabo blaga in storitev,91754000
7048,Davki na motorna vozila,54508000
705,Davki na mednarodno trgovino in transakcije,40713000
7050,Carine,40339000
7051,Druge uvozne dajatve,374000
706,Drugi davki,24532000
7060,Drugi davki,24532000
71,NEDAVČNI PRIHODKI,378156000
710,Udeležba na dobičku in dohodki od premoženja,148847000
7100,Prihodki od udeležbe na dobičku in dividend ter presežkov prihodkov nad odhodki,84726000
7102,Prihodki od obresti,9180000
7103,Prihodki od premoženja,54941000
711,Takse in pristojbine,99397000
7110,Sodne takse,42123000
7111,Upravne takse in pristojbine,57274000
712,Denarne kazni,31686000
7120,Denarne kazni,31686000
713,Prihodki od prodaje blaga in storitev,11980000
7130,Prihodki od prodaje blaga in storitev,11980000
714,Drugi nedavčni prihodki,86246000
7141,Drugi nedavčni prihodki,86246000
72,KAPITALSKI PRIHODKI,1700000
720,Prihodki od prodaje osnovnih sredstev,1700000
7200,Prihodki od prodaje zgradb in prostorov,1700000
73,PREJETE DONACIJE,4010000
731,Prejete donacije iz tujine,3386000
7310,Prejete donacije in darila od tujih nevladnih organizacij in fundacij,3386000
732,Donacije za odpravo posledic naravnih nesreč,623000
7320,Donacije za odpravo posledic naravnih nesreč,623000
74,TRANSFERNI PRIHODKI,454000
740,Transferni prihodki iz drugih javnofinančnih institucij,454000
7400,Prejeta sredstva iz državnega proračuna,424000
7402,Prejeta sredstva iz skladov socialnega zavarovanja,30000
78,PREJETA SREDSTVA IZ EVROPSKE UNIJE,409870000
780,Predpristopna sredstva Evropske unije,18703000
7801,Prejeta sredstva ISPA,18703000
781,Prejeta sredstva iz proračuna EU za izvajanje skupne kmetijske politike,148904000
